"GEO_ID","NAME","B19083_001E","B19083_001M"
"id","Geographic Area Name","Estimate!!Gini Index","Margin of Error!!Gini Index"
"0600000US0900100000","County subdivisions not defined, Fairfield County, Connecticut","-","**"
"0600000US0900104720","Bethel town, Fairfield County, Connecticut","0.3989","0.0339"
"0600000US0900108070","Bridgeport town, Fairfield County, Connecticut","0.4700","0.0104"
"0600000US0900108980","Brookfield town, Fairfield County, Connecticut","0.4195","0.0292"
"0600000US0900118500","Danbury town, Fairfield County, Connecticut","0.4238","0.0140"
"0600000US0900118850","Darien town, Fairfield County, Connecticut","0.5071","0.0176"
"0600000US0900123890","Easton town, Fairfield County, Connecticut","0.4167","0.0329"
"0600000US0900126620","Fairfield town, Fairfield County, Connecticut","0.4937","0.0125"
"0600000US0900133620","Greenwich town, Fairfield County, Connecticut","0.5750","0.0123"
"0600000US0900148620","Monroe town, Fairfield County, Connecticut","0.4555","0.0304"
"0600000US0900150580","New Canaan town, Fairfield County, Connecticut","0.5346","0.0190"
"0600000US0900150860","New Fairfield town, Fairfield County, Connecticut","0.3689","0.0208"
"0600000US0900152980","Newtown town, Fairfield County, Connecticut","0.4387","0.0298"
"0600000US0900156060","Norwalk town, Fairfield County, Connecticut","0.4827","0.0142"
"0600000US0900163480","Redding town, Fairfield County, Connecticut","0.4488","0.0268"
"0600000US0900163970","Ridgefield town, Fairfield County, Connecticut","0.5166","0.0216"
"0600000US0900168170","Shelton town, Fairfield County, Connecticut","0.4203","0.0205"
"0600000US0900168310","Sherman town, Fairfield County, Connecticut","0.4678","0.0884"
"0600000US0900173070","Stamford town, Fairfield County, Connecticut","0.5082","0.0119"
"0600000US0900174190","Stratford town, Fairfield County, Connecticut","0.4288","0.0183"
"0600000US0900177200","Trumbull town, Fairfield County, Connecticut","0.4101","0.0148"
"0600000US0900183430","Weston town, Fairfield County, Connecticut","0.4812","0.0328"
"0600000US0900183500","Westport town, Fairfield County, Connecticut","0.5281","0.0159"
"0600000US0900186370","Wilton town, Fairfield County, Connecticut","0.4755","0.0210"
"0600000US0900302060","Avon town, Hartford County, Connecticut","0.4578","0.0257"
"0600000US0900304300","Berlin town, Hartford County, Connecticut","0.3952","0.0223"
"0600000US0900305910","Bloomfield town, Hartford County, Connecticut","0.4567","0.0293"
"0600000US0900308490","Bristol town, Hartford County, Connecticut","0.4162","0.0129"
"0600000US0900310100","Burlington town, Hartford County, Connecticut","0.3668","0.0296"
"0600000US0900312270","Canton town, Hartford County, Connecticut","0.4389","0.0294"
"0600000US0900322070","East Granby town, Hartford County, Connecticut","0.3865","0.0323"
"0600000US0900322630","East Hartford town, Hartford County, Connecticut","0.4249","0.0146"
"0600000US0900324800","East Windsor town, Hartford County, Connecticut","0.3547","0.0316"
"0600000US0900325990","Enfield town, Hartford County, Connecticut","0.3750","0.0125"
"0600000US0900327600","Farmington town, Hartford County, Connecticut","0.4845","0.0313"
"0600000US0900331240","Glastonbury town, Hartford County, Connecticut","0.4381","0.0189"
"0600000US0900332640","Granby town, Hartford County, Connecticut","0.4501","0.0761"
"0600000US0900337070","Hartford town, Hartford County, Connecticut","0.4983","0.0106"
"0600000US0900337140","Hartland town, Hartford County, Connecticut","0.3374","0.0342"
"0600000US0900344700","Manchester town, Hartford County, Connecticut","0.4090","0.0133"
"0600000US0900345820","Marlborough town, Hartford County, Connecticut","0.3045","0.0305"
"0600000US0900350440","New Britain town, Hartford County, Connecticut","0.4392","0.0110"
"0600000US0900352140","Newington town, Hartford County, Connecticut","0.3639","0.0154"
"0600000US0900360120","Plainville town, Hartford County, Connecticut","0.4055","0.0256"
"0600000US0900365370","Rocky Hill town, Hartford County, Connecticut","0.4344","0.0362"
"0600000US0900368940","Simsbury town, Hartford County, Connecticut","0.4438","0.0254"
"0600000US0900370550","Southington town, Hartford County, Connecticut","0.3999","0.0153"
"0600000US0900371390","South Windsor town, Hartford County, Connecticut","0.4046","0.0239"
"0600000US0900374540","Suffield town, Hartford County, Connecticut","0.4401","0.0328"
"0600000US0900382590","West Hartford town, Hartford County, Connecticut","0.4907","0.0154"
"0600000US0900384900","Wethersfield town, Hartford County, Connecticut","0.4198","0.0180"
"0600000US0900387000","Windsor town, Hartford County, Connecticut","0.3792","0.0206"
"0600000US0900387070","Windsor Locks town, Hartford County, Connecticut","0.4225","0.0329"
"0600000US0900502760","Barkhamsted town, Litchfield County, Connecticut","0.3189","0.0327"
"0600000US0900504930","Bethlehem town, Litchfield County, Connecticut","0.4524","0.1050"
"0600000US0900508210","Bridgewater town, Litchfield County, Connecticut","0.4890","0.0818"
"0600000US0900510940","Canaan town, Litchfield County, Connecticut","0.4308","0.0394"
"0600000US0900516050","Colebrook town, Litchfield County, Connecticut","0.3749","0.0421"
"0600000US0900517240","Cornwall town, Litchfield County, Connecticut","0.4669","0.0371"
"0600000US0900532290","Goshen town, Litchfield County, Connecticut","0.4238","0.0587"
"0600000US0900537280","Harwinton town, Litchfield County, Connecticut","0.4124","0.0419"
"0600000US0900540290","Kent town, Litchfield County, Connecticut","0.5053","0.0670"
"0600000US0900543370","Litchfield town, Litchfield County, Connecticut","0.4745","0.0438"
"0600000US0900549460","Morris town, Litchfield County, Connecticut","0.4045","0.0437"
"0600000US0900551350","New Hartford town, Litchfield County, Connecticut","0.3817","0.0430"
"0600000US0900552630","New Milford town, Litchfield County, Connecticut","0.4329","0.0490"
"0600000US0900553470","Norfolk town, Litchfield County, Connecticut","0.4746","0.0622"
"0600000US0900554030","North Canaan town, Litchfield County, Connecticut","0.3684","0.0358"
"0600000US0900560750","Plymouth town, Litchfield County, Connecticut","0.3414","0.0189"
"0600000US0900565930","Roxbury town, Litchfield County, Connecticut","0.5230","0.0650"
"0600000US0900566420","Salisbury town, Litchfield County, Connecticut","0.5051","0.0425"
"0600000US0900567960","Sharon town, Litchfield County, Connecticut","0.5226","0.0581"
"0600000US0900575730","Thomaston town, Litchfield County, Connecticut","0.3565","0.0229"
"0600000US0900576570","Torrington town, Litchfield County, Connecticut","0.4358","0.0219"
"0600000US0900579510","Warren town, Litchfield County, Connecticut","0.4619","0.0612"
"0600000US0900579720","Washington town, Litchfield County, Connecticut","0.5426","0.0685"
"0600000US0900580490","Watertown town, Litchfield County, Connecticut","0.3984","0.0213"
"0600000US0900586440","Winchester town, Litchfield County, Connecticut","0.4209","0.0397"
"0600000US0900587910","Woodbury town, Litchfield County, Connecticut","0.4259","0.0322"
"0600000US0900700000","County subdivisions not defined, Middlesex County, Connecticut","-","**"
"0600000US0900714300","Chester town, Middlesex County, Connecticut","0.4200","0.0454"
"0600000US0900715350","Clinton town, Middlesex County, Connecticut","0.4425","0.0416"
"0600000US0900718080","Cromwell town, Middlesex County, Connecticut","0.3873","0.0189"
"0600000US0900719130","Deep River town, Middlesex County, Connecticut","0.4545","0.0572"
"0600000US0900720810","Durham town, Middlesex County, Connecticut","0.3432","0.0347"
"0600000US0900722280","East Haddam town, Middlesex County, Connecticut","0.3850","0.0465"
"0600000US0900722490","East Hampton town, Middlesex County, Connecticut","0.3818","0.0272"
"0600000US0900726270","Essex town, Middlesex County, Connecticut","0.5015","0.0550"
"0600000US0900735230","Haddam town, Middlesex County, Connecticut","0.3781","0.0343"
"0600000US0900740710","Killingworth town, Middlesex County, Connecticut","0.3945","0.0278"
"0600000US0900747080","Middlefield town, Middlesex County, Connecticut","0.3995","0.0335"
"0600000US0900747360","Middletown town, Middlesex County, Connecticut","0.4344","0.0138"
"0600000US0900757320","Old Saybrook town, Middlesex County, Connecticut","0.4840","0.0416"
"0600000US0900761800","Portland town, Middlesex County, Connecticut","0.3868","0.0388"
"0600000US0900781680","Westbrook town, Middlesex County, Connecticut","0.5197","0.0778"
"0600000US0900900000","County subdivisions not defined, New Haven County, Connecticut","-","**"
"0600000US0900901220","Ansonia town, New Haven County, Connecticut","0.4505","0.0224"
"0600000US0900903250","Beacon Falls town, New Haven County, Connecticut","0.3470","0.0410"
"0600000US0900904580","Bethany town, New Haven County, Connecticut","0.3800","0.0380"
"0600000US0900907310","Branford town, New Haven County, Connecticut","0.4599","0.0206"
"0600000US0900914160","Cheshire town, New Haven County, Connecticut","0.3823","0.0185"
"0600000US0900919550","Derby town, New Haven County, Connecticut","0.4115","0.0259"
"0600000US0900922910","East Haven town, New Haven County, Connecticut","0.4074","0.0251"
"0600000US0900934950","Guilford town, New Haven County, Connecticut","0.4537","0.0415"
"0600000US0900935650","Hamden town, New Haven County, Connecticut","0.4273","0.0150"
"0600000US0900944560","Madison town, New Haven County, Connecticut","0.4629","0.0323"
"0600000US0900946520","Meriden town, New Haven County, Connecticut","0.4149","0.0127"
"0600000US0900946940","Middlebury town, New Haven County, Connecticut","0.4167","0.0354"
"0600000US0900947535","Milford town, New Haven County, Connecticut","0.4222","0.0138"
"0600000US0900949950","Naugatuck town, New Haven County, Connecticut","0.4134","0.0208"
"0600000US0900952070","New Haven town, New Haven County, Connecticut","0.5122","0.0109"
"0600000US0900953890","North Branford town, New Haven County, Connecticut","0.3768","0.0387"
"0600000US0900954870","North Haven town, New Haven County, Connecticut","0.3975","0.0224"
"0600000US0900957600","Orange town, New Haven County, Connecticut","0.4285","0.0222"
"0600000US0900958300","Oxford town, New Haven County, Connecticut","0.3581","0.0309"
"0600000US0900962290","Prospect town, New Haven County, Connecticut","0.3430","0.0238"
"0600000US0900967610","Seymour town, New Haven County, Connecticut","0.4050","0.0293"
"0600000US0900969640","Southbury town, New Haven County, Connecticut","0.4610","0.0193"
"0600000US0900978740","Wallingford town, New Haven County, Connecticut","0.4083","0.0251"
"0600000US0900980070","Waterbury town, New Haven County, Connecticut","0.4571","0.0144"
"0600000US0900982870","West Haven town, New Haven County, Connecticut","0.4242","0.0152"
"0600000US0900987560","Wolcott town, New Haven County, Connecticut","0.3737","0.0261"
"0600000US0900987700","Woodbridge town, New Haven County, Connecticut","0.4405","0.0310"
"0600000US0901100000","County subdivisions not defined, New London County, Connecticut","-","**"
"0600000US0901106820","Bozrah town, New London County, Connecticut","0.3219","0.0301"
"0600000US0901115910","Colchester town, New London County, Connecticut","0.3419","0.0193"
"0600000US0901123400","East Lyme town, New London County, Connecticut","0.4157","0.0172"
"0600000US0901129910","Franklin town, New London County, Connecticut","0.3429","0.0244"
"0600000US0901133900","Griswold town, New London County, Connecticut","0.4004","0.0285"
"0600000US0901134250","Groton town, New London County, Connecticut","0.4326","0.0168"
"0600000US0901142390","Lebanon town, New London County, Connecticut","0.3514","0.0328"
"0600000US0901142600","Ledyard town, New London County, Connecticut","0.3289","0.0210"
"0600000US0901143230","Lisbon town, New London County, Connecticut","0.4024","0.0436"
"0600000US0901144210","Lyme town, New London County, Connecticut","0.5273","0.0825"
"0600000US0901148900","Montville town, New London County, Connecticut","0.3700","0.0235"
"0600000US0901152350","New London town, New London County, Connecticut","0.4614","0.0254"
"0600000US0901155500","North Stonington town, New London County, Connecticut","0.3871","0.0444"
"0600000US0901156270","Norwich town, New London County, Connecticut","0.4417","0.0187"
"0600000US0901157040","Old Lyme town, New London County, Connecticut","0.4220","0.0258"
"0600000US0901162150","Preston town, New London County, Connecticut","0.3896","0.0345"
"0600000US0901166210","Salem town, New London County, Connecticut","0.3755","0.0441"
