"GEO_ID","NAME","B19083_001E","B19083_001M"
"id","Geographic Area Name","Estimate!!Gini Index","Margin of Error!!Gini Index"
"0600000US0900100000","County subdivisions not defined, Fairfield County, Connecticut","-","**"
"0600000US0900104720","Bethel town, Fairfield County, Connecticut","0.4078","0.0247"
"0600000US0900108070","Bridgeport town, Fairfield County, Connecticut","0.4803","0.0138"
"0600000US0900108980","Brookfield town, Fairfield County, Connecticut","0.4158","0.0304"
"0600000US0900118500","Danbury town, Fairfield County, Connecticut","0.4403","0.0137"
"0600000US0900118850","Darien town, Fairfield County, Connecticut","0.5143","0.0160"
"0600000US0900123890","Easton town, Fairfield County, Connecticut","0.4351","0.0367"
"0600000US0900126620","Fairfield town, Fairfield County, Connecticut","0.5056","0.0165"
"0600000US0900133620","Greenwich town, Fairfield County, Connecticut","0.5726","0.0104"
"0600000US0900148620","Monroe town, Fairfield County, Connecticut","0.4211","0.0245"
"0600000US0900150580","New Canaan town, Fairfield County, Connecticut","0.5388","0.0166"
"0600000US0900150860","New Fairfield town, Fairfield County, Connecticut","0.4232","0.0352"
"0600000US0900152980","Newtown town, Fairfield County, Connecticut","0.4174","0.0192"
"0600000US0900156060","Norwalk town, Fairfield County, Connecticut","0.4996","0.0143"
"0600000US0900163480","Redding town, Fairfield County, Connecticut","0.4837","0.0332"
"0600000US0900163970","Ridgefield town, Fairfield County, Connecticut","0.4801","0.0229"
"0600000US0900168170","Shelton town, Fairfield County, Connecticut","0.4477","0.0203"
"0600000US0900168310","Sherman town, Fairfield County, Connecticut","0.5161","0.0562"
"0600000US0900173070","Stamford town, Fairfield County, Connecticut","0.5129","0.0108"
"0600000US0900174190","Stratford town, Fairfield County, Connecticut","0.4118","0.0191"
"0600000US0900177200","Trumbull town, Fairfield County, Connecticut","0.4033","0.0176"
"0600000US0900183430","Weston town, Fairfield County, Connecticut","0.4570","0.0254"
"0600000US0900183500","Westport town, Fairfield County, Connecticut","0.5094","0.0156"
"0600000US0900186370","Wilton town, Fairfield County, Connecticut","0.4633","0.0224"
"0600000US0900302060","Avon town, Hartford County, Connecticut","0.4862","0.0216"
"0600000US0900304300","Berlin town, Hartford County, Connecticut","0.4134","0.0278"
"0600000US0900305910","Bloomfield town, Hartford County, Connecticut","0.4447","0.0334"
"0600000US0900308490","Bristol town, Hartford County, Connecticut","0.4347","0.0260"
"0600000US0900310100","Burlington town, Hartford County, Connecticut","0.4001","0.0305"
"0600000US0900312270","Canton town, Hartford County, Connecticut","0.4367","0.0263"
"0600000US0900322070","East Granby town, Hartford County, Connecticut","0.3505","0.0339"
"0600000US0900322630","East Hartford town, Hartford County, Connecticut","0.4386","0.0234"
"0600000US0900324800","East Windsor town, Hartford County, Connecticut","0.3781","0.0267"
"0600000US0900325990","Enfield town, Hartford County, Connecticut","0.4024","0.0187"
"0600000US0900327600","Farmington town, Hartford County, Connecticut","0.4876","0.0219"
"0600000US0900331240","Glastonbury town, Hartford County, Connecticut","0.4441","0.0206"
"0600000US0900332640","Granby town, Hartford County, Connecticut","0.4139","0.0381"
"0600000US0900337070","Hartford town, Hartford County, Connecticut","0.5049","0.0122"
"0600000US0900337140","Hartland town, Hartford County, Connecticut","0.4077","0.0590"
"0600000US0900344700","Manchester town, Hartford County, Connecticut","0.4209","0.0152"
"0600000US0900345820","Marlborough town, Hartford County, Connecticut","0.4087","0.0405"
"0600000US0900350440","New Britain town, Hartford County, Connecticut","0.4546","0.0139"
"0600000US0900352140","Newington town, Hartford County, Connecticut","0.3653","0.0142"
"0600000US0900360120","Plainville town, Hartford County, Connecticut","0.4051","0.0228"
"0600000US0900365370","Rocky Hill town, Hartford County, Connecticut","0.3897","0.0269"
"0600000US0900368940","Simsbury town, Hartford County, Connecticut","0.4618","0.0178"
"0600000US0900370550","Southington town, Hartford County, Connecticut","0.4113","0.0240"
"0600000US0900371390","South Windsor town, Hartford County, Connecticut","0.4030","0.0153"
"0600000US0900374540","Suffield town, Hartford County, Connecticut","0.4200","0.0308"
"0600000US0900382590","West Hartford town, Hartford County, Connecticut","0.4634","0.0089"
"0600000US0900384900","Wethersfield town, Hartford County, Connecticut","0.4470","0.0264"
"0600000US0900387000","Windsor town, Hartford County, Connecticut","0.3892","0.0194"
"0600000US0900387070","Windsor Locks town, Hartford County, Connecticut","0.4331","0.0595"
"0600000US0900502760","Barkhamsted town, Litchfield County, Connecticut","0.3726","0.0421"
"0600000US0900504930","Bethlehem town, Litchfield County, Connecticut","0.4284","0.0572"
"0600000US0900508210","Bridgewater town, Litchfield County, Connecticut","0.5028","0.0424"
"0600000US0900510940","Canaan town, Litchfield County, Connecticut","0.5242","0.0602"
"0600000US0900516050","Colebrook town, Litchfield County, Connecticut","0.3231","0.0314"
"0600000US0900517240","Cornwall town, Litchfield County, Connecticut","0.5882","0.0333"
"0600000US0900532290","Goshen town, Litchfield County, Connecticut","0.4676","0.0462"
"0600000US0900537280","Harwinton town, Litchfield County, Connecticut","0.3808","0.0281"
"0600000US0900540290","Kent town, Litchfield County, Connecticut","0.5179","0.1094"
"0600000US0900543370","Litchfield town, Litchfield County, Connecticut","0.4784","0.0272"
"0600000US0900549460","Morris town, Litchfield County, Connecticut","0.5103","0.0698"
"0600000US0900551350","New Hartford town, Litchfield County, Connecticut","0.3605","0.0313"
"0600000US0900552630","New Milford town, Litchfield County, Connecticut","0.4281","0.0234"
"0600000US0900553470","Norfolk town, Litchfield County, Connecticut","0.4838","0.0441"
"0600000US0900554030","North Canaan town, Litchfield County, Connecticut","0.4501","0.0604"
"0600000US0900560750","Plymouth town, Litchfield County, Connecticut","0.3923","0.0247"
"0600000US0900565930","Roxbury town, Litchfield County, Connecticut","0.4797","0.0429"
"0600000US0900566420","Salisbury town, Litchfield County, Connecticut","0.5196","0.0657"
"0600000US0900567960","Sharon town, Litchfield County, Connecticut","0.5876","0.0790"
"0600000US0900575730","Thomaston town, Litchfield County, Connecticut","0.3996","0.0432"
"0600000US0900576570","Torrington town, Litchfield County, Connecticut","0.4057","0.0161"
"0600000US0900579510","Warren town, Litchfield County, Connecticut","0.4800","0.0366"
"0600000US0900579720","Washington town, Litchfield County, Connecticut","0.5787","0.0789"
"0600000US0900580490","Watertown town, Litchfield County, Connecticut","0.4417","0.0298"
"0600000US0900586440","Winchester town, Litchfield County, Connecticut","0.4229","0.0321"
"0600000US0900587910","Woodbury town, Litchfield County, Connecticut","0.4798","0.0502"
"0600000US0900700000","County subdivisions not defined, Middlesex County, Connecticut","-","**"
"0600000US0900714300","Chester town, Middlesex County, Connecticut","0.3827","0.0413"
"0600000US0900715350","Clinton town, Middlesex County, Connecticut","0.4399","0.0225"
"0600000US0900718080","Cromwell town, Middlesex County, Connecticut","0.4247","0.0306"
"0600000US0900719130","Deep River town, Middlesex County, Connecticut","0.4234","0.0762"
"0600000US0900720810","Durham town, Middlesex County, Connecticut","0.4185","0.0825"
"0600000US0900722280","East Haddam town, Middlesex County, Connecticut","0.3994","0.0360"
"0600000US0900722490","East Hampton town, Middlesex County, Connecticut","0.3894","0.0396"
"0600000US0900726270","Essex town, Middlesex County, Connecticut","0.4557","0.0330"
"0600000US0900735230","Haddam town, Middlesex County, Connecticut","0.3976","0.0360"
"0600000US0900740710","Killingworth town, Middlesex County, Connecticut","0.3956","0.0387"
"0600000US0900747080","Middlefield town, Middlesex County, Connecticut","0.4067","0.0500"
"0600000US0900747360","Middletown town, Middlesex County, Connecticut","0.4716","0.0209"
"0600000US0900757320","Old Saybrook town, Middlesex County, Connecticut","0.4363","0.0286"
"0600000US0900761800","Portland town, Middlesex County, Connecticut","0.4419","0.0468"
"0600000US0900781680","Westbrook town, Middlesex County, Connecticut","0.5251","0.0372"
"0600000US0900900000","County subdivisions not defined, New Haven County, Connecticut","-","**"
"0600000US0900901220","Ansonia town, New Haven County, Connecticut","0.4419","0.0261"
"0600000US0900903250","Beacon Falls town, New Haven County, Connecticut","0.3998","0.0427"
"0600000US0900904580","Bethany town, New Haven County, Connecticut","0.4358","0.0588"
"0600000US0900907310","Branford town, New Haven County, Connecticut","0.4605","0.0197"
"0600000US0900914160","Cheshire town, New Haven County, Connecticut","0.3926","0.0150"
"0600000US0900919550","Derby town, New Haven County, Connecticut","0.4374","0.0350"
"0600000US0900922910","East Haven town, New Haven County, Connecticut","0.4119","0.0187"
"0600000US0900934950","Guilford town, New Haven County, Connecticut","0.4885","0.0264"
"0600000US0900935650","Hamden town, New Haven County, Connecticut","0.4293","0.0136"
"0600000US0900944560","Madison town, New Haven County, Connecticut","0.4631","0.0234"
"0600000US0900946520","Meriden town, New Haven County, Connecticut","0.4115","0.0147"
"0600000US0900946940","Middlebury town, New Haven County, Connecticut","0.4164","0.0257"
"0600000US0900947535","Milford town, New Haven County, Connecticut","0.4439","0.0191"
"0600000US0900949950","Naugatuck town, New Haven County, Connecticut","0.4196","0.0227"
"0600000US0900952070","New Haven town, New Haven County, Connecticut","0.5200","0.0113"
"0600000US0900953890","North Branford town, New Haven County, Connecticut","0.4410","0.0571"
"0600000US0900954870","North Haven town, New Haven County, Connecticut","0.4199","0.0254"
"0600000US0900957600","Orange town, New Haven County, Connecticut","0.4198","0.0257"
"0600000US0900958300","Oxford town, New Haven County, Connecticut","0.3704","0.0315"
"0600000US0900962290","Prospect town, New Haven County, Connecticut","0.3435","0.0275"
"0600000US0900967610","Seymour town, New Haven County, Connecticut","0.4197","0.0264"
"0600000US0900969640","Southbury town, New Haven County, Connecticut","0.4366","0.0207"
"0600000US0900978740","Wallingford town, New Haven County, Connecticut","0.4003","0.0182"
"0600000US0900980070","Waterbury town, New Haven County, Connecticut","0.4640","0.0129"
"0600000US0900982870","West Haven town, New Haven County, Connecticut","0.4239","0.0165"
"0600000US0900987560","Wolcott town, New Haven County, Connecticut","0.3673","0.0223"
"0600000US0900987700","Woodbridge town, New Haven County, Connecticut","0.4043","0.0434"
"0600000US0901100000","County subdivisions not defined, New London County, Connecticut","-","**"
"0600000US0901106820","Bozrah town, New London County, Connecticut","0.3169","0.0281"
"0600000US0901115910","Colchester town, New London County, Connecticut","0.3936","0.0326"
"0600000US0901123400","East Lyme town, New London County, Connecticut","0.4203","0.0178"
"0600000US0901129910","Franklin town, New London County, Connecticut","0.3741","0.0232"
"0600000US0901133900","Griswold town, New London County, Connecticut","0.4128","0.0381"
"0600000US0901134250","Groton town, New London County, Connecticut","0.4398","0.0184"
"0600000US0901142390","Lebanon town, New London County, Connecticut","0.3555","0.0288"
"0600000US0901142600","Ledyard town, New London County, Connecticut","0.3776","0.0410"
"0600000US0901143230","Lisbon town, New London County, Connecticut","0.3505","0.0348"
"0600000US0901144210","Lyme town, New London County, Connecticut","0.5333","0.0314"
"0600000US0901148900","Montville town, New London County, Connecticut","0.4097","0.0353"
"0600000US0901152350","New London town, New London County, Connecticut","0.4750","0.0287"
"0600000US0901155500","North Stonington town, New London County, Connecticut","0.3973","0.0418"
"0600000US0901156270","Norwich town, New London County, Connecticut","0.4358","0.0186"
"0600000US0901157040","Old Lyme town, New London County, Connecticut","0.4876","0.0473"
"0600000US0901162150","Preston town, New London County, Connecticut","0.4092","0.0418"
"0600000US0901166210","Salem town, New London County, Connecticut","0.3953","0.0547"
