"Town","FIPS","Year","Measure Type","Variable","Value"
"Andover","0901301080","2006-2010","Number","Gini Ratio","0.394"
"Andover","0901301080","2006-2010","Number","Margins of Error","0.060"
"Andover","0901301080","2007-2011","Number","Gini Ratio","0.3872"
"Andover","0901301080","2007-2011","Number","Margins of Error","0.0641"
"Andover","0901301080","2008-2012","Number","Gini Ratio","0.3386"
"Andover","0901301080","2008-2012","Number","Margins of Error","0.0377"
"Andover","0901301080","2009-2013","Number","Gini Ratio","0.3786"
"Andover","0901301080","2009-2013","Number","Margins of Error","0.0479"
"Andover","0901301080","2010-2014","Number","Gini Ratio","0.3699"
"Andover","0901301080","2010-2014","Number","Margins of Error","0.0497"
"Andover","0901301080","2011-2015","Number","Gini Ratio","0.3547"
"Andover","0901301080","2011-2015","Number","Margins of Error","0.0442"
"Andover","0901301080","2012-2016","Number","Gini Ratio","0.3391"
"Andover","0901301080","2012-2016","Number","Margins of Error","0.0481"
"Andover","0901301080","2013-2017","Number","Gini Ratio","0.3380"
"Andover","0901301080","2013-2017","Number","Margins of Error","0.0486"
"Ansonia","0900901220","2006-2010","Number","Gini Ratio","0.378"
"Ansonia","0900901220","2006-2010","Number","Margins of Error","0.016"
"Ansonia","0900901220","2007-2011","Number","Gini Ratio","0.3978"
"Ansonia","0900901220","2007-2011","Number","Margins of Error","0.0201"
"Ansonia","0900901220","2008-2012","Number","Gini Ratio","0.4223"
"Ansonia","0900901220","2008-2012","Number","Margins of Error","0.0225"
"Ansonia","0900901220","2009-2013","Number","Gini Ratio","0.4505"
"Ansonia","0900901220","2009-2013","Number","Margins of Error","0.0224"
"Ansonia","0900901220","2010-2014","Number","Gini Ratio","0.4634"
"Ansonia","0900901220","2010-2014","Number","Margins of Error","0.0202"
"Ansonia","0900901220","2011-2015","Number","Gini Ratio","0.4620"
"Ansonia","0900901220","2011-2015","Number","Margins of Error","0.0212"
"Ansonia","0900901220","2012-2016","Number","Gini Ratio","0.4738"
"Ansonia","0900901220","2012-2016","Number","Margins of Error","0.0235"
"Ansonia","0900901220","2013-2017","Number","Gini Ratio","0.4563"
"Ansonia","0900901220","2013-2017","Number","Margins of Error","0.0209"
"Ashford","0901501430","2006-2010","Number","Gini Ratio","0.347"
"Ashford","0901501430","2006-2010","Number","Margins of Error","0.030"
"Ashford","0901501430","2007-2011","Number","Gini Ratio","0.3813"
"Ashford","0901501430","2007-2011","Number","Margins of Error","0.0377"
"Ashford","0901501430","2008-2012","Number","Gini Ratio","0.3945"
"Ashford","0901501430","2008-2012","Number","Margins of Error","0.0373"
"Ashford","0901501430","2009-2013","Number","Gini Ratio","0.3919"
"Ashford","0901501430","2009-2013","Number","Margins of Error","0.0394"
"Ashford","0901501430","2010-2014","Number","Gini Ratio","0.4005"
"Ashford","0901501430","2010-2014","Number","Margins of Error","0.0401"
"Ashford","0901501430","2011-2015","Number","Gini Ratio","0.4184"
"Ashford","0901501430","2011-2015","Number","Margins of Error","0.0379"
"Ashford","0901501430","2012-2016","Number","Gini Ratio","0.4199"
"Ashford","0901501430","2012-2016","Number","Margins of Error","0.0417"
"Ashford","0901501430","2013-2017","Number","Gini Ratio","0.4185"
"Ashford","0901501430","2013-2017","Number","Margins of Error","0.0394"
"Avon","0900302060","2006-2010","Number","Gini Ratio","0.460"
"Avon","0900302060","2006-2010","Number","Margins of Error","0.022"
"Avon","0900302060","2007-2011","Number","Gini Ratio","0.4525"
"Avon","0900302060","2007-2011","Number","Margins of Error","0.0206"
"Avon","0900302060","2008-2012","Number","Gini Ratio","0.4582"
"Avon","0900302060","2008-2012","Number","Margins of Error","0.0290"
"Avon","0900302060","2009-2013","Number","Gini Ratio","0.4578"
"Avon","0900302060","2009-2013","Number","Margins of Error","0.0257"
"Avon","0900302060","2010-2014","Number","Gini Ratio","0.4758"
"Avon","0900302060","2010-2014","Number","Margins of Error","0.0230"
"Avon","0900302060","2011-2015","Number","Gini Ratio","0.4682"
"Avon","0900302060","2011-2015","Number","Margins of Error","0.0260"
"Avon","0900302060","2012-2016","Number","Gini Ratio","0.4720"
"Avon","0900302060","2012-2016","Number","Margins of Error","0.0242"
"Avon","0900302060","2013-2017","Number","Gini Ratio","0.4732"
"Avon","0900302060","2013-2017","Number","Margins of Error","0.0179"
"Barkhamsted","0900502760","2006-2010","Number","Gini Ratio","0.308"
"Barkhamsted","0900502760","2006-2010","Number","Margins of Error","0.034"
"Barkhamsted","0900502760","2007-2011","Number","Gini Ratio","0.3292"
"Barkhamsted","0900502760","2007-2011","Number","Margins of Error","0.0329"
"Barkhamsted","0900502760","2008-2012","Number","Gini Ratio","0.3217"
"Barkhamsted","0900502760","2008-2012","Number","Margins of Error","0.0321"
"Barkhamsted","0900502760","2009-2013","Number","Gini Ratio","0.3189"
"Barkhamsted","0900502760","2009-2013","Number","Margins of Error","0.0327"
"Barkhamsted","0900502760","2010-2014","Number","Gini Ratio","0.3400"
"Barkhamsted","0900502760","2010-2014","Number","Margins of Error","0.0294"
"Barkhamsted","0900502760","2011-2015","Number","Gini Ratio","0.3488"
"Barkhamsted","0900502760","2011-2015","Number","Margins of Error","0.0296"
"Barkhamsted","0900502760","2012-2016","Number","Gini Ratio","0.3451"
"Barkhamsted","0900502760","2012-2016","Number","Margins of Error","0.0343"
"Barkhamsted","0900502760","2013-2017","Number","Gini Ratio","0.3515"
"Barkhamsted","0900502760","2013-2017","Number","Margins of Error","0.0363"
"Beacon Falls","0900903250","2006-2010","Number","Gini Ratio","0.345"
"Beacon Falls","0900903250","2006-2010","Number","Margins of Error","0.040"
"Beacon Falls","0900903250","2007-2011","Number","Gini Ratio","0.3344"
"Beacon Falls","0900903250","2007-2011","Number","Margins of Error","0.0420"
"Beacon Falls","0900903250","2008-2012","Number","Gini Ratio","0.3491"
"Beacon Falls","0900903250","2008-2012","Number","Margins of Error","0.0373"
"Beacon Falls","0900903250","2009-2013","Number","Gini Ratio","0.3470"
