"Town","FIPS","Year","Measure Type","Variable","Value"
"Andover","0901301080","2006-2010","Number","Margins of Error",0.06
"Andover","0901301080","2006-2010","Number","Gini Ratio",0.394
"Andover","0901301080","2007-2011","Number","Margins of Error",0.0641
"Andover","0901301080","2007-2011","Number","Gini Ratio",0.3872
"Andover","0901301080","2008-2012","Number","Margins of Error",0.0377
"Andover","0901301080","2008-2012","Number","Gini Ratio",0.3386
"Andover","0901301080","2009-2013","Number","Margins of Error",0.0479
"Andover","0901301080","2009-2013","Number","Gini Ratio",0.3786
"Andover","0901301080","2010-2014","Number","Margins of Error",0.0497
"Andover","0901301080","2010-2014","Number","Gini Ratio",0.3699
"Andover","0901301080","2011-2015","Number","Margins of Error",0.0442
"Andover","0901301080","2011-2015","Number","Gini Ratio",0.3547
"Andover","0901301080","2012-2016","Number","Margins of Error",0.0481
"Andover","0901301080","2012-2016","Number","Gini Ratio",0.3391
"Andover","0901301080","2013-2017","Number","Margins of Error",0.0486
"Andover","0901301080","2013-2017","Number","Gini Ratio",0.338
"Andover","0901301080","2014-2018","Number","Margins of Error",0.0299
"Andover","0901301080","2014-2018","Number","Gini Ratio",0.2971
"Ansonia","0900901220","2006-2010","Number","Margins of Error",0.016
"Ansonia","0900901220","2006-2010","Number","Gini Ratio",0.378
"Ansonia","0900901220","2007-2011","Number","Margins of Error",0.0201
"Ansonia","0900901220","2007-2011","Number","Gini Ratio",0.3978
"Ansonia","0900901220","2008-2012","Number","Margins of Error",0.0225
"Ansonia","0900901220","2008-2012","Number","Gini Ratio",0.4223
"Ansonia","0900901220","2009-2013","Number","Margins of Error",0.0224
"Ansonia","0900901220","2009-2013","Number","Gini Ratio",0.4505
"Ansonia","0900901220","2010-2014","Number","Margins of Error",0.0202
"Ansonia","0900901220","2010-2014","Number","Gini Ratio",0.4634
"Ansonia","0900901220","2011-2015","Number","Margins of Error",0.0212
"Ansonia","0900901220","2011-2015","Number","Gini Ratio",0.462
"Ansonia","0900901220","2012-2016","Number","Margins of Error",0.0235
"Ansonia","0900901220","2012-2016","Number","Gini Ratio",0.4738
"Ansonia","0900901220","2013-2017","Number","Margins of Error",0.0209
"Ansonia","0900901220","2013-2017","Number","Gini Ratio",0.4563
"Ansonia","0900901220","2014-2018","Number","Margins of Error",0.0273
"Ansonia","0900901220","2014-2018","Number","Gini Ratio",0.4487
"Ashford","0901501430","2006-2010","Number","Margins of Error",0.03
"Ashford","0901501430","2006-2010","Number","Gini Ratio",0.347
"Ashford","0901501430","2007-2011","Number","Margins of Error",0.0377
"Ashford","0901501430","2007-2011","Number","Gini Ratio",0.3813
"Ashford","0901501430","2008-2012","Number","Margins of Error",0.0373
"Ashford","0901501430","2008-2012","Number","Gini Ratio",0.3945
"Ashford","0901501430","2009-2013","Number","Margins of Error",0.0394
"Ashford","0901501430","2009-2013","Number","Gini Ratio",0.3919
"Ashford","0901501430","2010-2014","Number","Margins of Error",0.0401
"Ashford","0901501430","2010-2014","Number","Gini Ratio",0.4005
"Ashford","0901501430","2011-2015","Number","Margins of Error",0.0379
"Ashford","0901501430","2011-2015","Number","Gini Ratio",0.4184
"Ashford","0901501430","2012-2016","Number","Margins of Error",0.0417
"Ashford","0901501430","2012-2016","Number","Gini Ratio",0.4199
"Ashford","0901501430","2013-2017","Number","Margins of Error",0.0394
"Ashford","0901501430","2013-2017","Number","Gini Ratio",0.4185
"Ashford","0901501430","2014-2018","Number","Margins of Error",0.0383
"Ashford","0901501430","2014-2018","Number","Gini Ratio",0.4265
"Avon","0900302060","2006-2010","Number","Margins of Error",0.022
"Avon","0900302060","2006-2010","Number","Gini Ratio",0.46
"Avon","0900302060","2007-2011","Number","Margins of Error",0.0206
"Avon","0900302060","2007-2011","Number","Gini Ratio",0.4525
"Avon","0900302060","2008-2012","Number","Margins of Error",0.029
"Avon","0900302060","2008-2012","Number","Gini Ratio",0.4582
"Avon","0900302060","2009-2013","Number","Margins of Error",0.0257
