"Town","FIPS","Year","Measure Type","Variable","Value"
"Andover",901301080,"2006-2010","Number","Gini Ratio",0.394
"Andover",901301080,"2006-2010","Number","Margins of Error",0.06
"Andover",901301080,"2007-2011","Number","Gini Ratio",0.3872
"Andover",901301080,"2007-2011","Number","Margins of Error",0.0641
"Andover",901301080,"2008-2012","Number","Gini Ratio",0.3386
"Andover",901301080,"2008-2012","Number","Margins of Error",0.0377
"Andover",901301080,"2009-2013","Number","Gini Ratio",0.3786
"Andover",901301080,"2009-2013","Number","Margins of Error",0.0479
"Andover",901301080,"2010-2014","Number","Gini Ratio",0.3699
"Andover",901301080,"2010-2014","Number","Margins of Error",0.0497
"Andover",901301080,"2011-2015","Number","Gini Ratio",0.3547
"Andover",901301080,"2011-2015","Number","Margins of Error",0.0442
"Andover",901301080,"2012-2016","Number","Gini Ratio",0.3391
"Andover",901301080,"2012-2016","Number","Margins of Error",0.0481
"Andover",901301080,"2013-2017","Number","Gini Ratio",0.338
"Andover",901301080,"2013-2017","Number","Margins of Error",0.0486
"Ansonia",900901220,"2006-2010","Number","Gini Ratio",0.378
"Ansonia",900901220,"2006-2010","Number","Margins of Error",0.016
"Ansonia",900901220,"2007-2011","Number","Gini Ratio",0.3978
"Ansonia",900901220,"2007-2011","Number","Margins of Error",0.0201
"Ansonia",900901220,"2008-2012","Number","Gini Ratio",0.4223
"Ansonia",900901220,"2008-2012","Number","Margins of Error",0.0225
"Ansonia",900901220,"2009-2013","Number","Gini Ratio",0.4505
"Ansonia",900901220,"2009-2013","Number","Margins of Error",0.0224
"Ansonia",900901220,"2010-2014","Number","Gini Ratio",0.4634
"Ansonia",900901220,"2010-2014","Number","Margins of Error",0.0202
"Ansonia",900901220,"2011-2015","Number","Gini Ratio",0.462
"Ansonia",900901220,"2011-2015","Number","Margins of Error",0.0212
"Ansonia",900901220,"2012-2016","Number","Gini Ratio",0.4738
"Ansonia",900901220,"2012-2016","Number","Margins of Error",0.0235
"Ansonia",900901220,"2013-2017","Number","Gini Ratio",0.4563
"Ansonia",900901220,"2013-2017","Number","Margins of Error",0.0209
"Ashford",901501430,"2006-2010","Number","Gini Ratio",0.347
"Ashford",901501430,"2006-2010","Number","Margins of Error",0.03
"Ashford",901501430,"2007-2011","Number","Gini Ratio",0.3813
"Ashford",901501430,"2007-2011","Number","Margins of Error",0.0377
"Ashford",901501430,"2008-2012","Number","Gini Ratio",0.3945
"Ashford",901501430,"2008-2012","Number","Margins of Error",0.0373
"Ashford",901501430,"2009-2013","Number","Gini Ratio",0.3919
"Ashford",901501430,"2009-2013","Number","Margins of Error",0.0394
"Ashford",901501430,"2010-2014","Number","Gini Ratio",0.4005
"Ashford",901501430,"2010-2014","Number","Margins of Error",0.0401
"Ashford",901501430,"2011-2015","Number","Gini Ratio",0.4184
"Ashford",901501430,"2011-2015","Number","Margins of Error",0.0379
"Ashford",901501430,"2012-2016","Number","Gini Ratio",0.4199
"Ashford",901501430,"2012-2016","Number","Margins of Error",0.0417
"Ashford",901501430,"2013-2017","Number","Gini Ratio",0.4185
"Ashford",901501430,"2013-2017","Number","Margins of Error",0.0394
"Avon",900302060,"2006-2010","Number","Gini Ratio",0.46
"Avon",900302060,"2006-2010","Number","Margins of Error",0.022
"Avon",900302060,"2007-2011","Number","Gini Ratio",0.4525
"Avon",900302060,"2007-2011","Number","Margins of Error",0.0206
"Avon",900302060,"2008-2012","Number","Gini Ratio",0.4582
"Avon",900302060,"2008-2012","Number","Margins of Error",0.029
"Avon",900302060,"2009-2013","Number","Gini Ratio",0.4578
"Avon",900302060,"2009-2013","Number","Margins of Error",0.0257
"Avon",900302060,"2010-2014","Number","Gini Ratio",0.4758
"Avon",900302060,"2010-2014","Number","Margins of Error",0.023
"Avon",900302060,"2011-2015","Number","Gini Ratio",0.4682
"Avon",900302060,"2011-2015","Number","Margins of Error",0.026
"Avon",900302060,"2012-2016","Number","Gini Ratio",0.472
"Avon",900302060,"2012-2016","Number","Margins of Error",0.0242
"Avon",900302060,"2013-2017","Number","Gini Ratio",0.4732
"Avon",900302060,"2013-2017","Number","Margins of Error",0.0179
"Barkhamsted",900502760,"2006-2010","Number","Gini Ratio",0.308
"Barkhamsted",900502760,"2006-2010","Number","Margins of Error",0.034
"Barkhamsted",900502760,"2007-2011","Number","Gini Ratio",0.3292
"Barkhamsted",900502760,"2007-2011","Number","Margins of Error",0.0329
"Barkhamsted",900502760,"2008-2012","Number","Gini Ratio",0.3217
"Barkhamsted",900502760,"2008-2012","Number","Margins of Error",0.0321
"Barkhamsted",900502760,"2009-2013","Number","Gini Ratio",0.3189
"Barkhamsted",900502760,"2009-2013","Number","Margins of Error",0.0327
"Barkhamsted",900502760,"2010-2014","Number","Gini Ratio",0.34
"Barkhamsted",900502760,"2010-2014","Number","Margins of Error",0.0294
"Barkhamsted",900502760,"2011-2015","Number","Gini Ratio",0.3488
"Barkhamsted",900502760,"2011-2015","Number","Margins of Error",0.0296
"Barkhamsted",900502760,"2012-2016","Number","Gini Ratio",0.3451
"Barkhamsted",900502760,"2012-2016","Number","Margins of Error",0.0343
"Barkhamsted",900502760,"2013-2017","Number","Gini Ratio",0.3515
"Barkhamsted",900502760,"2013-2017","Number","Margins of Error",0.0363
"Beacon Falls",900903250,"2006-2010","Number","Gini Ratio",0.345
"Beacon Falls",900903250,"2006-2010","Number","Margins of Error",0.04
"Beacon Falls",900903250,"2007-2011","Number","Gini Ratio",0.3344
"Beacon Falls",900903250,"2007-2011","Number","Margins of Error",0.042
"Beacon Falls",900903250,"2008-2012","Number","Gini Ratio",0.3491
"Beacon Falls",900903250,"2008-2012","Number","Margins of Error",0.0373
"Beacon Falls",900903250,"2009-2013","Number","Gini Ratio",0.347
"Beacon Falls",900903250,"2009-2013","Number","Margins of Error",0.041
"Beacon Falls",900903250,"2010-2014","Number","Gini Ratio",0.3283
"Beacon Falls",900903250,"2010-2014","Number","Margins of Error",0.0282
"Beacon Falls",900903250,"2011-2015","Number","Gini Ratio",0.354
"Beacon Falls",900903250,"2011-2015","Number","Margins of Error",0.035
"Beacon Falls",900903250,"2012-2016","Number","Gini Ratio",0.3697
"Beacon Falls",900903250,"2012-2016","Number","Margins of Error",0.0385
"Beacon Falls",900903250,"2013-2017","Number","Gini Ratio",0.3541
"Beacon Falls",900903250,"2013-2017","Number","Margins of Error",0.0391
"Berlin",900304300,"2006-2010","Number","Gini Ratio",0.387
"Berlin",900304300,"2006-2010","Number","Margins of Error",0.024
"Berlin",900304300,"2007-2011","Number","Gini Ratio",0.38
"Berlin",900304300,"2007-2011","Number","Margins of Error",0.0179
"Berlin",900304300,"2008-2012","Number","Gini Ratio",0.3949
"Berlin",900304300,"2008-2012","Number","Margins of Error",0.0194
"Berlin",900304300,"2009-2013","Number","Gini Ratio",0.3952
"Berlin",900304300,"2009-2013","Number","Margins of Error",0.0223
"Berlin",900304300,"2010-2014","Number","Gini Ratio",0.3961
"Berlin",900304300,"2010-2014","Number","Margins of Error",0.0227
"Berlin",900304300,"2011-2015","Number","Gini Ratio",0.3964
"Berlin",900304300,"2011-2015","Number","Margins of Error",0.0216
"Berlin",900304300,"2012-2016","Number","Gini Ratio",0.4057
"Berlin",900304300,"2012-2016","Number","Margins of Error",0.0249
"Berlin",900304300,"2013-2017","Number","Gini Ratio",0.409
"Berlin",900304300,"2013-2017","Number","Margins of Error",0.0235
"Bethany",900904580,"2006-2010","Number","Gini Ratio",0.379
"Bethany",900904580,"2006-2010","Number","Margins of Error",0.047
"Bethany",900904580,"2007-2011","Number","Gini Ratio",0.3893
"Bethany",900904580,"2007-2011","Number","Margins of Error",0.0455
"Bethany",900904580,"2008-2012","Number","Gini Ratio",0.3887
"Bethany",900904580,"2008-2012","Number","Margins of Error",0.0401
"Bethany",900904580,"2009-2013","Number","Gini Ratio",0.38
"Bethany",900904580,"2009-2013","Number","Margins of Error",0.038
"Bethany",900904580,"2010-2014","Number","Gini Ratio",0.3918
"Bethany",900904580,"2010-2014","Number","Margins of Error",0.0364
"Bethany",900904580,"2011-2015","Number","Gini Ratio",0.3711
"Bethany",900904580,"2011-2015","Number","Margins of Error",0.0307
"Bethany",900904580,"2012-2016","Number","Gini Ratio",0.3903
"Bethany",900904580,"2012-2016","Number","Margins of Error",0.0466
"Bethany",900904580,"2013-2017","Number","Gini Ratio",0.3957
"Bethany",900904580,"2013-2017","Number","Margins of Error",0.0478
"Bethel",900104720,"2006-2010","Number","Gini Ratio",0.375
"Bethel",900104720,"2006-2010","Number","Margins of Error",0.021
"Bethel",900104720,"2007-2011","Number","Gini Ratio",0.3696
"Bethel",900104720,"2007-2011","Number","Margins of Error",0.0213
"Bethel",900104720,"2008-2012","Number","Gini Ratio",0.3686
"Bethel",900104720,"2008-2012","Number","Margins of Error",0.0202
"Bethel",900104720,"2009-2013","Number","Gini Ratio",0.3989
"Bethel",900104720,"2009-2013","Number","Margins of Error",0.0339
"Bethel",900104720,"2010-2014","Number","Gini Ratio",0.424
"Bethel",900104720,"2010-2014","Number","Margins of Error",0.032
"Bethel",900104720,"2011-2015","Number","Gini Ratio",0.4196
"Bethel",900104720,"2011-2015","Number","Margins of Error",0.0337
