"GEO_ID","NAME","B19083_001E","B19083_001M"
"id","Geographic Area Name","Estimate!!Gini Index","Margin of Error!!Gini Index"
"0600000US0900100000","County subdivisions not defined, Fairfield County, Connecticut","-","**"
"0600000US0900700000","County subdivisions not defined, Middlesex County, Connecticut","-","**"
"0600000US0900900000","County subdivisions not defined, New Haven County, Connecticut","-","**"
"0600000US0901100000","County subdivisions not defined, New London County, Connecticut","-","**"
"0600000US0900722280","East Haddam town, Middlesex County, Connecticut","0.3999","0.0488"
"0600000US0900987700","Woodbridge town, New Haven County, Connecticut","0.4635","0.0372"
"0600000US0901156270","Norwich town, New London County, Connecticut","0.4372","0.0166"
"0600000US0901171670","Sprague town, New London County, Connecticut","0.3467","0.0315"
"0600000US0900177200","Trumbull town, Fairfield County, Connecticut","0.4234","0.0231"
"0600000US0900183500","Westport town, Fairfield County, Connecticut","0.5415","0.0132"
"0600000US0900304300","Berlin town, Hartford County, Connecticut","0.3961","0.0227"
"0600000US0900715350","Clinton town, Middlesex County, Connecticut","0.4419","0.0438"
"0600000US0901106820","Bozrah town, New London County, Connecticut","0.3323","0.0250"
"0600000US0901173770","Stonington town, New London County, Connecticut","0.4457","0.0192"
"0600000US0901180280","Waterford town, New London County, Connecticut","0.4354","0.0306"
"0600000US0900331240","Glastonbury town, Hartford County, Connecticut","0.4525","0.0171"
"0600000US0900516050","Colebrook town, Litchfield County, Connecticut","0.3791","0.0337"
"0600000US0900540290","Kent town, Litchfield County, Connecticut","0.4693","0.0460"
"0600000US0901134250","Groton town, New London County, Connecticut","0.4444","0.0221"
"0600000US0901559980","Plainfield town, Windham County, Connecticut","0.3618","0.0237"
"0600000US0900368940","Simsbury town, Hartford County, Connecticut","0.4462","0.0202"
"0600000US0900553470","Norfolk town, Litchfield County, Connecticut","0.4795","0.0534"
"0600000US0901385950","Willington town, Tolland County, Connecticut","0.4221","0.0718"
"0600000US0900308490","Bristol town, Hartford County, Connecticut","0.4184","0.0158"
"0600000US0900537280","Harwinton town, Litchfield County, Connecticut","0.4126","0.0476"
"0600000US0900934950","Guilford town, New Haven County, Connecticut","0.4512","0.0281"
"0600000US0901337910","Hebron town, Tolland County, Connecticut","0.3347","0.0211"
"0600000US0900305910","Bloomfield town, Hartford County, Connecticut","0.4534","0.0295"
"0600000US0900325990","Enfield town, Hartford County, Connecticut","0.3670","0.0102"
"0600000US0900980070","Waterbury town, New Haven County, Connecticut","0.4637","0.0145"
"0600000US0900302060","Avon town, Hartford County, Connecticut","0.4758","0.0230"
"0600000US0901142390","Lebanon town, New London County, Connecticut","0.3496","0.0308"
"0600000US0901306260","Bolton town, Tolland County, Connecticut","0.3878","0.0348"
"0600000US0900337140","Hartland town, Hartford County, Connecticut","0.3555","0.0362"
"0600000US0900575730","Thomaston town, Litchfield County, Connecticut","0.3553","0.0223"
"0600000US0900949950","Naugatuck town, New Haven County, Connecticut","0.4391","0.0475"
"0600000US0901155500","North Stonington town, New London County, Connecticut","0.4001","0.0388"
"0600000US0900163970","Ridgefield town, Fairfield County, Connecticut","0.5002","0.0219"
"0600000US0900173070","Stamford town, Fairfield County, Connecticut","0.5147","0.0097"
"0600000US0900384900","Wethersfield town, Hartford County, Connecticut","0.4089","0.0162"
"0600000US0900962290","Prospect town, New Haven County, Connecticut","0.3447","0.0213"
"0600000US0900978740","Wallingford town, New Haven County, Connecticut","0.4059","0.0235"
"0600000US0901325360","Ellington town, Tolland County, Connecticut","0.3779","0.0391"
"0600000US0900322070","East Granby town, Hartford County, Connecticut","0.3943","0.0357"
"0600000US0900720810","Durham town, Middlesex County, Connecticut","0.3850","0.0333"
"0600000US0900935650","Hamden town, New Haven County, Connecticut","0.4397","0.0149"
"0600000US0900365370","Rocky Hill town, Hartford County, Connecticut","0.4356","0.0331"
"0600000US0901166210","Salem town, New London County, Connecticut","0.4014","0.0445"
"0600000US0900532290","Goshen town, Litchfield County, Connecticut","0.4033","0.0664"
"0600000US0900901220","Ansonia town, New Haven County, Connecticut","0.4634","0.0202"
"0600000US0900322630","East Hartford town, Hartford County, Connecticut","0.4274","0.0166"
"0600000US0900337070","Hartford town, Hartford County, Connecticut","0.4993","0.0106"
"0600000US0900387000","Windsor town, Hartford County, Connecticut","0.3701","0.0166"
"0600000US0901521860","Eastford town, Windham County, Connecticut","0.4099","0.0440"
"0600000US0900150860","New Fairfield town, Fairfield County, Connecticut","0.3777","0.0242"
"0600000US0901369220","Somers town, Tolland County, Connecticut","0.3867","0.0276"
"0600000US0900387070","Windsor Locks town, Hartford County, Connecticut","0.4060","0.0278"
"0600000US0900967610","Seymour town, New Haven County, Connecticut","0.3799","0.0288"
"0600000US0901178600","Voluntown town, New London County, Connecticut","0.3214","0.0297"
"0600000US0900152980","Newtown town, Fairfield County, Connecticut","0.4309","0.0210"
"0600000US0900174190","Stratford town, Fairfield County, Connecticut","0.4399","0.0145"
"0600000US0900919550","Derby town, New Haven County, Connecticut","0.4182","0.0268"
"0600000US0901376290","Tolland town, Tolland County, Connecticut","0.3696","0.0316"
"0600000US0900123890","Easton town, Fairfield County, Connecticut","0.4250","0.0271"
"0600000US0900133620","Greenwich town, Fairfield County, Connecticut","0.5859","0.0108"
"0600000US0900370550","Southington town, Hartford County, Connecticut","0.4000","0.0169"
"0600000US0901573420","Sterling town, Windham County, Connecticut","0.3612","0.0409"
"0600000US0900163480","Redding town, Fairfield County, Connecticut","0.4434","0.0241"
"0600000US0900327600","Farmington town, Hartford County, Connecticut","0.4846","0.0310"
"0600000US0900382590","West Hartford town, Hartford County, Connecticut","0.4943","0.0145"
"0600000US0900549460","Morris town, Litchfield County, Connecticut","0.4062","0.0437"
"0600000US0901372090","Stafford town, Tolland County, Connecticut","0.3881","0.0233"
"0600000US0901509190","Brooklyn town, Windham County, Connecticut","0.3972","0.0348"
"0600000US0900104720","Bethel town, Fairfield County, Connecticut","0.4240","0.0320"
"0600000US0900360120","Plainville town, Hartford County, Connecticut","0.4233","0.0252"
"0600000US0900156060","Norwalk town, Fairfield County, Connecticut","0.4791","0.0116"
"0600000US0901301080","Andover town, Tolland County, Connecticut","0.3699","0.0497"
"0600000US0901377830","Union town, Tolland County, Connecticut","0.3301","0.0445"
"0600000US0901162150","Preston town, New London County, Connecticut","0.3986","0.0312"
"0600000US0900108070","Bridgeport town, Fairfield County, Connecticut","0.4749","0.0113"
"0600000US0900566420","Salisbury town, Litchfield County, Connecticut","0.4867","0.0464"
"0600000US0900567960","Sharon town, Litchfield County, Connecticut","0.5431","0.0595"
"0600000US0901586790","Windham town, Windham County, Connecticut","0.4555","0.0208"
"0600000US0900543370","Litchfield town, Litchfield County, Connecticut","0.4690","0.0412"
"0600000US0900586440","Winchester town, Litchfield County, Connecticut","0.4258","0.0353"
"0600000US0901129910","Franklin town, New London County, Connecticut","0.3801","0.0504"
"0600000US0900969640","Southbury town, New Haven County, Connecticut","0.4606","0.0199"
"0600000US0901536000","Hampton town, Windham County, Connecticut","0.3978","0.0482"
"0600000US0900126620","Fairfield town, Fairfield County, Connecticut","0.4935","0.0134"
"0600000US0900747360","Middletown town, Middlesex County, Connecticut","0.4408","0.0125"
"0600000US0901567400","Scotland town, Windham County, Connecticut","0.3108","0.0383"
"0600000US0900714300","Chester town, Middlesex County, Connecticut","0.4139","0.0391"
"0600000US0901142600","Ledyard town, New London County, Connecticut","0.3587","0.0211"
"0600000US0901152350","New London town, New London County, Connecticut","0.4747","0.0215"
"0600000US0901157040","Old Lyme town, New London County, Connecticut","0.4152","0.0258"
"0600000US0900374540","Suffield town, Hartford County, Connecticut","0.4430","0.0294"
"0600000US0900560750","Plymouth town, Litchfield County, Connecticut","0.3495","0.0177"
"0600000US0900922910","East Haven town, New Haven County, Connecticut","0.4160","0.0163"
"0600000US0900958300","Oxford town, New Haven County, Connecticut","0.3600","0.0283"
"0600000US0901123400","East Lyme town, New London County, Connecticut","0.4022","0.0167"
"0600000US0900587910","Woodbury town, Litchfield County, Connecticut","0.4346","0.0294"
"0600000US0900719130","Deep River town, Middlesex County, Connecticut","0.4439","0.0423"
"0600000US0900726270","Essex town, Middlesex County, Connecticut","0.4618","0.0491"
"0600000US0900907310","Branford town, New Haven County, Connecticut","0.4716","0.0214"
"0600000US0900952070","New Haven town, New Haven County, Connecticut","0.5194","0.0113"
"0600000US0900502760","Barkhamsted town, Litchfield County, Connecticut","0.3400","0.0294"
"0600000US0900552630","New Milford town, Litchfield County, Connecticut","0.4240","0.0455"
"0600000US0900554030","North Canaan town, Litchfield County, Connecticut","0.3636","0.0430"
"0600000US0900576570","Torrington town, Litchfield County, Connecticut","0.4181","0.0148"
"0600000US0900310100","Burlington town, Hartford County, Connecticut","0.3847","0.0313"
"0600000US0900352140","Newington town, Hartford County, Connecticut","0.3715","0.0166"
"0600000US0900565930","Roxbury town, Litchfield County, Connecticut","0.5240","0.0605"
"0600000US0901316400","Columbia town, Tolland County, Connecticut","0.3548","0.0487"
"0600000US0900118850","Darien town, Fairfield County, Connecticut","0.5186","0.0181"
"0600000US0900344700","Manchester town, Hartford County, Connecticut","0.4134","0.0127"
"0600000US0900953890","North Branford town, New Haven County, Connecticut","0.3946","0.0401"
"0600000US0900504930","Bethlehem town, Litchfield County, Connecticut","0.4735","0.0942"
"0600000US0901317800","Coventry town, Tolland County, Connecticut","0.3324","0.0298"
"0600000US0901540500","Killingly town, Windham County, Connecticut","0.4030","0.0260"
"0600000US0900148620","Monroe town, Fairfield County, Connecticut","0.4425","0.0277"
"0600000US0900345820","Marlborough town, Hartford County, Connecticut","0.3049","0.0316"
"0600000US0900350440","New Britain town, Hartford County, Connecticut","0.4509","0.0123"
"0600000US0900747080","Middlefield town, Middlesex County, Connecticut","0.4006","0.0348"
"0600000US0901144210","Lyme town, New London County, Connecticut","0.4577","0.0371"
"0600000US0901501430","Ashford town, Windham County, Connecticut","0.4005","0.0401"
"0600000US0900722490","East Hampton town, Middlesex County, Connecticut","0.3897","0.0239"
"0600000US0901148900","Montville town, New London County, Connecticut","0.3519","0.0178"
"0600000US0901588190","Woodstock town, Windham County, Connecticut","0.4059","0.0380"
"0600000US0900761800","Portland town, Middlesex County, Connecticut","0.3967","0.0409"
"0600000US0900118500","Danbury town, Fairfield County, Connecticut","0.4358","0.0119"
"0600000US0900510940","Canaan town, Litchfield County, Connecticut","0.4434","0.0460"
"0600000US0900740710","Killingworth town, Middlesex County, Connecticut","0.3990","0.0278"
"0600000US0901115910","Colchester town, New London County, Connecticut","0.3524","0.0223"
"0600000US0900168170","Shelton town, Fairfield County, Connecticut","0.4104","0.0191"
"0600000US0901561030","Pomfret town, Windham County, Connecticut","0.3977","0.0338"
"0600000US0900757320","Old Saybrook town, Middlesex County, Connecticut","0.4689","0.0388"
"0600000US0900580490","Watertown town, Litchfield County, Connecticut","0.4044","0.0240"
"0600000US0900312270","Canton town, Hartford County, Connecticut","0.4648","0.0450"
"0600000US0900579510","Warren town, Litchfield County, Connecticut","0.4826","0.0499"
"0600000US0900183430","Weston town, Fairfield County, Connecticut","0.4819","0.0341"
"0600000US0900904580","Bethany town, New Haven County, Connecticut","0.3918","0.0364"
"0600000US0900508210","Bridgewater town, Litchfield County, Connecticut","0.4918","0.0745"
