GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Gini Index,Margin of Error; Gini Index
0400000US09,09,Connecticut,0.4947,0.0021
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",-,**
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",0.4334,0.0356
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",0.4772,0.0109
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",0.4278,0.0316
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",0.4397,0.0136
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",0.5119,0.0196
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",0.4319,0.0253
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",0.5026,0.0139
0600000US0900133620,0900133620,"Greenwich town, Fairfield County, Connecticut",0.5869,0.0117
0600000US0900148620,0900148620,"Monroe town, Fairfield County, Connecticut",0.4144,0.0270
0600000US0900150580,0900150580,"New Canaan town, Fairfield County, Connecticut",0.5503,0.0171
0600000US0900150860,0900150860,"New Fairfield town, Fairfield County, Connecticut",0.4077,0.0322
0600000US0900152980,0900152980,"Newtown town, Fairfield County, Connecticut",0.4295,0.0175
0600000US0900156060,0900156060,"Norwalk town, Fairfield County, Connecticut",0.4896,0.0128
0600000US0900163480,0900163480,"Redding town, Fairfield County, Connecticut",0.4341,0.0281
0600000US0900163970,0900163970,"Ridgefield town, Fairfield County, Connecticut",0.5038,0.0203
0600000US0900168170,0900168170,"Shelton town, Fairfield County, Connecticut",0.4392,0.0253
0600000US0900168310,0900168310,"Sherman town, Fairfield County, Connecticut",0.5204,0.0581
0600000US0900173070,0900173070,"Stamford town, Fairfield County, Connecticut",0.5142,0.0114
0600000US0900174190,0900174190,"Stratford town, Fairfield County, Connecticut",0.4359,0.0164
0600000US0900177200,0900177200,"Trumbull town, Fairfield County, Connecticut",0.4094,0.0239
0600000US0900183430,0900183430,"Weston town, Fairfield County, Connecticut",0.4541,0.0274
0600000US0900183500,0900183500,"Westport town, Fairfield County, Connecticut",0.5368,0.0161
0600000US0900186370,0900186370,"Wilton town, Fairfield County, Connecticut",0.4761,0.0179
0600000US0900302060,0900302060,"Avon town, Hartford County, Connecticut",0.4720,0.0242
0600000US0900304300,0900304300,"Berlin town, Hartford County, Connecticut",0.4057,0.0249
0600000US0900305910,0900305910,"Bloomfield town, Hartford County, Connecticut",0.4408,0.0312
0600000US0900308490,0900308490,"Bristol town, Hartford County, Connecticut",0.4203,0.0205
0600000US0900310100,0900310100,"Burlington town, Hartford County, Connecticut",0.3933,0.0299
0600000US0900312270,0900312270,"Canton town, Hartford County, Connecticut",0.4532,0.0383
0600000US0900322070,0900322070,"East Granby town, Hartford County, Connecticut",0.3780,0.0303
0600000US0900322630,0900322630,"East Hartford town, Hartford County, Connecticut",0.4225,0.0139
0600000US0900324800,0900324800,"East Windsor town, Hartford County, Connecticut",0.3685,0.0270
0600000US0900325990,0900325990,"Enfield town, Hartford County, Connecticut",0.3725,0.0167
0600000US0900327600,0900327600,"Farmington town, Hartford County, Connecticut",0.4738,0.0180
0600000US0900331240,0900331240,"Glastonbury town, Hartford County, Connecticut",0.4608,0.0187
0600000US0900332640,0900332640,"Granby town, Hartford County, Connecticut",0.3823,0.0304
0600000US0900337070,0900337070,"Hartford town, Hartford County, Connecticut",0.5050,0.0110
0600000US0900337140,0900337140,"Hartland town, Hartford County, Connecticut",0.4072,0.0294
0600000US0900344700,0900344700,"Manchester town, Hartford County, Connecticut",0.4145,0.0125
0600000US0900345820,0900345820,"Marlborough town, Hartford County, Connecticut",0.3864,0.0565
0600000US0900350440,0900350440,"New Britain town, Hartford County, Connecticut",0.4626,0.0127
0600000US0900352140,0900352140,"Newington town, Hartford County, Connecticut",0.3720,0.0142
0600000US0900360120,0900360120,"Plainville town, Hartford County, Connecticut",0.4064,0.0245
0600000US0900365370,0900365370,"Rocky Hill town, Hartford County, Connecticut",0.4132,0.0233
0600000US0900368940,0900368940,"Simsbury town, Hartford County, Connecticut",0.4307,0.0158
0600000US0900370550,0900370550,"Southington town, Hartford County, Connecticut",0.3931,0.0117
0600000US0900371390,0900371390,"South Windsor town, Hartford County, Connecticut",0.4235,0.0205
0600000US0900374540,0900374540,"Suffield town, Hartford County, Connecticut",0.4357,0.0352
0600000US0900382590,0900382590,"West Hartford town, Hartford County, Connecticut",0.4856,0.0132
0600000US0900384900,0900384900,"Wethersfield town, Hartford County, Connecticut",0.4204,0.0168
0600000US0900387000,0900387000,"Windsor town, Hartford County, Connecticut",0.3845,0.0222
0600000US0900387070,0900387070,"Windsor Locks town, Hartford County, Connecticut",0.4326,0.0524
0600000US0900502760,0900502760,"Barkhamsted town, Litchfield County, Connecticut",0.3451,0.0343
0600000US0900504930,0900504930,"Bethlehem town, Litchfield County, Connecticut",0.4842,0.0651
0600000US0900508210,0900508210,"Bridgewater town, Litchfield County, Connecticut",0.4613,0.0411
0600000US0900510940,0900510940,"Canaan town, Litchfield County, Connecticut",0.4730,0.0706
