"GEO_ID","NAME","B19083_001E","B19083_001M"
"id","Geographic Area Name","Estimate!!Gini Index","Margin of Error!!Gini Index"
"0600000US0900100000","County subdivisions not defined, Fairfield County, Connecticut","-","**"
"0600000US0900104720","Bethel town, Fairfield County, Connecticut","0.3696","0.0213"
"0600000US0900108070","Bridgeport town, Fairfield County, Connecticut","0.4561","0.0084"
"0600000US0900108980","Brookfield town, Fairfield County, Connecticut","0.4213","0.0292"
"0600000US0900118500","Danbury town, Fairfield County, Connecticut","0.4153","0.0129"
"0600000US0900118850","Darien town, Fairfield County, Connecticut","0.5208","0.0182"
"0600000US0900123890","Easton town, Fairfield County, Connecticut","0.4288","0.0363"
"0600000US0900126620","Fairfield town, Fairfield County, Connecticut","0.4953","0.0211"
"0600000US0900133620","Greenwich town, Fairfield County, Connecticut","0.5761","0.0118"
"0600000US0900148620","Monroe town, Fairfield County, Connecticut","0.4217","0.0310"
"0600000US0900150580","New Canaan town, Fairfield County, Connecticut","0.5164","0.0206"
"0600000US0900150860","New Fairfield town, Fairfield County, Connecticut","0.3543","0.0204"
"0600000US0900152980","Newtown town, Fairfield County, Connecticut","0.4261","0.0255"
"0600000US0900156060","Norwalk town, Fairfield County, Connecticut","0.4733","0.0156"
"0600000US0900163480","Redding town, Fairfield County, Connecticut","0.4628","0.0308"
"0600000US0900163970","Ridgefield town, Fairfield County, Connecticut","0.5038","0.0259"
"0600000US0900168170","Shelton town, Fairfield County, Connecticut","0.4247","0.0214"
"0600000US0900168310","Sherman town, Fairfield County, Connecticut","0.4147","0.0459"
"0600000US0900173070","Stamford town, Fairfield County, Connecticut","0.5049","0.0119"
"0600000US0900174190","Stratford town, Fairfield County, Connecticut","0.4127","0.0155"
"0600000US0900177200","Trumbull town, Fairfield County, Connecticut","0.4241","0.0181"
"0600000US0900183430","Weston town, Fairfield County, Connecticut","0.4599","0.0312"
"0600000US0900183500","Westport town, Fairfield County, Connecticut","0.5345","0.0157"
"0600000US0900186370","Wilton town, Fairfield County, Connecticut","0.4652","0.0198"
"0600000US0900302060","Avon town, Hartford County, Connecticut","0.4525","0.0206"
"0600000US0900304300","Berlin town, Hartford County, Connecticut","0.3800","0.0179"
"0600000US0900305910","Bloomfield town, Hartford County, Connecticut","0.4500","0.0243"
"0600000US0900308490","Bristol town, Hartford County, Connecticut","0.3945","0.0129"
"0600000US0900310100","Burlington town, Hartford County, Connecticut","0.3308","0.0193"
"0600000US0900312270","Canton town, Hartford County, Connecticut","0.4413","0.0276"
"0600000US0900322070","East Granby town, Hartford County, Connecticut","0.4271","0.0856"
"0600000US0900322630","East Hartford town, Hartford County, Connecticut","0.4330","0.0140"
"0600000US0900324800","East Windsor town, Hartford County, Connecticut","0.3839","0.0353"
"0600000US0900325990","Enfield town, Hartford County, Connecticut","0.3768","0.0114"
"0600000US0900327600","Farmington town, Hartford County, Connecticut","0.4811","0.0339"
"0600000US0900331240","Glastonbury town, Hartford County, Connecticut","0.4205","0.0167"
"0600000US0900332640","Granby town, Hartford County, Connecticut","0.4249","0.0820"
"0600000US0900337070","Hartford town, Hartford County, Connecticut","0.5037","0.0130"
"0600000US0900337140","Hartland town, Hartford County, Connecticut","0.3154","0.0449"
"0600000US0900344700","Manchester town, Hartford County, Connecticut","0.4017","0.0106"
"0600000US0900345820","Marlborough town, Hartford County, Connecticut","0.3331","0.0356"
"0600000US0900350440","New Britain town, Hartford County, Connecticut","0.4235","0.0105"
"0600000US0900352140","Newington town, Hartford County, Connecticut","0.3724","0.0167"
"0600000US0900360120","Plainville town, Hartford County, Connecticut","0.3865","0.0229"
"0600000US0900365370","Rocky Hill town, Hartford County, Connecticut","0.3923","0.0227"
"0600000US0900368940","Simsbury town, Hartford County, Connecticut","0.4555","0.0235"
"0600000US0900370550","Southington town, Hartford County, Connecticut","0.3921","0.0155"
"0600000US0900371390","South Windsor town, Hartford County, Connecticut","0.3657","0.0148"
"0600000US0900374540","Suffield town, Hartford County, Connecticut","0.4353","0.0412"
"0600000US0900382590","West Hartford town, Hartford County, Connecticut","0.4801","0.0149"
"0600000US0900384900","Wethersfield town, Hartford County, Connecticut","0.4261","0.0199"
"0600000US0900387000","Windsor town, Hartford County, Connecticut","0.3744","0.0219"
"0600000US0900387070","Windsor Locks town, Hartford County, Connecticut","0.3979","0.0262"
"0600000US0900502760","Barkhamsted town, Litchfield County, Connecticut","0.3292","0.0329"
"0600000US0900504930","Bethlehem town, Litchfield County, Connecticut","0.3743","0.0569"
"0600000US0900508210","Bridgewater town, Litchfield County, Connecticut","0.5327","0.0549"
"0600000US0900510940","Canaan town, Litchfield County, Connecticut","0.4367","0.0416"
"0600000US0900516050","Colebrook town, Litchfield County, Connecticut","0.4321","0.0728"
"0600000US0900517240","Cornwall town, Litchfield County, Connecticut","0.5172","0.0633"
"0600000US0900532290","Goshen town, Litchfield County, Connecticut","0.4284","0.0530"
"0600000US0900537280","Harwinton town, Litchfield County, Connecticut","0.4164","0.0538"
"0600000US0900540290","Kent town, Litchfield County, Connecticut","0.4899","0.0559"
"0600000US0900543370","Litchfield town, Litchfield County, Connecticut","0.4545","0.0314"
"0600000US0900549460","Morris town, Litchfield County, Connecticut","0.3600","0.0328"
"0600000US0900551350","New Hartford town, Litchfield County, Connecticut","0.4467","0.0937"
"0600000US0900552630","New Milford town, Litchfield County, Connecticut","0.4172","0.0435"
"0600000US0900553470","Norfolk town, Litchfield County, Connecticut","0.4591","0.0477"
"0600000US0900554030","North Canaan town, Litchfield County, Connecticut","0.4401","0.0573"
"0600000US0900560750","Plymouth town, Litchfield County, Connecticut","0.3309","0.0179"
"0600000US0900565930","Roxbury town, Litchfield County, Connecticut","0.4890","0.0606"
"0600000US0900566420","Salisbury town, Litchfield County, Connecticut","0.5274","0.0601"
"0600000US0900567960","Sharon town, Litchfield County, Connecticut","0.4669","0.0590"
"0600000US0900575730","Thomaston town, Litchfield County, Connecticut","0.3583","0.0225"
"0600000US0900576570","Torrington town, Litchfield County, Connecticut","0.4386","0.0174"
"0600000US0900579510","Warren town, Litchfield County, Connecticut","0.4691","0.0565"
"0600000US0900579720","Washington town, Litchfield County, Connecticut","0.5319","0.0627"
"0600000US0900580490","Watertown town, Litchfield County, Connecticut","0.3851","0.0249"
"0600000US0900586440","Winchester town, Litchfield County, Connecticut","0.3933","0.0277"
"0600000US0900587910","Woodbury town, Litchfield County, Connecticut","0.4039","0.0249"
"0600000US0900700000","County subdivisions not defined, Middlesex County, Connecticut","-","**"
"0600000US0900714300","Chester town, Middlesex County, Connecticut","0.4194","0.0536"
"0600000US0900715350","Clinton town, Middlesex County, Connecticut","0.4208","0.0275"
"0600000US0900718080","Cromwell town, Middlesex County, Connecticut","0.4362","0.0412"
"0600000US0900719130","Deep River town, Middlesex County, Connecticut","0.4265","0.0632"
"0600000US0900720810","Durham town, Middlesex County, Connecticut","0.3588","0.0356"
"0600000US0900722280","East Haddam town, Middlesex County, Connecticut","0.3349","0.0303"
"0600000US0900722490","East Hampton town, Middlesex County, Connecticut","0.3597","0.0276"
"0600000US0900726270","Essex town, Middlesex County, Connecticut","0.5125","0.0462"
"0600000US0900735230","Haddam town, Middlesex County, Connecticut","0.3704","0.0307"
"0600000US0900740710","Killingworth town, Middlesex County, Connecticut","0.3943","0.0363"
"0600000US0900747080","Middlefield town, Middlesex County, Connecticut","0.4275","0.0314"
"0600000US0900747360","Middletown town, Middlesex County, Connecticut","0.4277","0.0154"
"0600000US0900757320","Old Saybrook town, Middlesex County, Connecticut","0.4318","0.0340"
"0600000US0900761800","Portland town, Middlesex County, Connecticut","0.3652","0.0289"
"0600000US0900781680","Westbrook town, Middlesex County, Connecticut","0.5418","0.0868"
"0600000US0900900000","County subdivisions not defined, New Haven County, Connecticut","-","**"
"0600000US0900901220","Ansonia town, New Haven County, Connecticut","0.3978","0.0201"
"0600000US0900903250","Beacon Falls town, New Haven County, Connecticut","0.3344","0.0420"
"0600000US0900904580","Bethany town, New Haven County, Connecticut","0.3893","0.0455"
"0600000US0900907310","Branford town, New Haven County, Connecticut","0.4415","0.0193"
"0600000US0900914160","Cheshire town, New Haven County, Connecticut","0.3896","0.0175"
"0600000US0900919550","Derby town, New Haven County, Connecticut","0.4104","0.0326"
"0600000US0900922910","East Haven town, New Haven County, Connecticut","0.3941","0.0185"
"0600000US0900934950","Guilford town, New Haven County, Connecticut","0.4531","0.0393"
"0600000US0900935650","Hamden town, New Haven County, Connecticut","0.4193","0.0131"
"0600000US0900944560","Madison town, New Haven County, Connecticut","0.4192","0.0317"
"0600000US0900946520","Meriden town, New Haven County, Connecticut","0.4361","0.0183"
"0600000US0900946940","Middlebury town, New Haven County, Connecticut","0.4180","0.0394"
"0600000US0900947535","Milford town, New Haven County, Connecticut","0.4136","0.0172"
"0600000US0900949950","Naugatuck town, New Haven County, Connecticut","0.3895","0.0168"
"0600000US0900952070","New Haven town, New Haven County, Connecticut","0.5040","0.0136"
"0600000US0900953890","North Branford town, New Haven County, Connecticut","0.3886","0.0403"
"0600000US0900954870","North Haven town, New Haven County, Connecticut","0.4173","0.0265"
"0600000US0900957600","Orange town, New Haven County, Connecticut","0.4139","0.0224"
"0600000US0900958300","Oxford town, New Haven County, Connecticut","0.3509","0.0253"
"0600000US0900962290","Prospect town, New Haven County, Connecticut","0.4111","0.0796"
"0600000US0900967610","Seymour town, New Haven County, Connecticut","0.3979","0.0285"
"0600000US0900969640","Southbury town, New Haven County, Connecticut","0.4746","0.0184"
"0600000US0900978740","Wallingford town, New Haven County, Connecticut","0.4034","0.0169"
"0600000US0900980070","Waterbury town, New Haven County, Connecticut","0.4610","0.0158"
"0600000US0900982870","West Haven town, New Haven County, Connecticut","0.4072","0.0152"
"0600000US0900987560","Wolcott town, New Haven County, Connecticut","0.3846","0.0327"
"0600000US0900987700","Woodbridge town, New Haven County, Connecticut","0.4804","0.0328"
"0600000US0901100000","County subdivisions not defined, New London County, Connecticut","-","**"
"0600000US0901106820","Bozrah town, New London County, Connecticut","0.3854","0.0765"
"0600000US0901115910","Colchester town, New London County, Connecticut","0.3225","0.0235"
"0600000US0901123400","East Lyme town, New London County, Connecticut","0.4038","0.0175"
"0600000US0901129910","Franklin town, New London County, Connecticut","0.3168","0.0236"
"0600000US0901133900","Griswold town, New London County, Connecticut","0.3922","0.0324"
"0600000US0901134250","Groton town, New London County, Connecticut","0.4309","0.0195"
"0600000US0901142390","Lebanon town, New London County, Connecticut","0.3338","0.0310"
"0600000US0901142600","Ledyard town, New London County, Connecticut","0.3325","0.0184"
"0600000US0901143230","Lisbon town, New London County, Connecticut","0.3926","0.0500"
"0600000US0901144210","Lyme town, New London County, Connecticut","0.5683","0.0896"
"0600000US0901148900","Montville town, New London County, Connecticut","0.3803","0.0272"
"0600000US0901152350","New London town, New London County, Connecticut","0.4125","0.0186"
"0600000US0901155500","North Stonington town, New London County, Connecticut","0.3850","0.0421"
"0600000US0901156270","Norwich town, New London County, Connecticut","0.4181","0.0121"
"0600000US0901157040","Old Lyme town, New London County, Connecticut","0.4278","0.0366"
"0600000US0901162150","Preston town, New London County, Connecticut","0.3728","0.0345"
"0600000US0901166210","Salem town, New London County, Connecticut","0.3849","0.0431"
