"GEO_ID","NAME","B19083_001E","B19083_001M"
"id","Geographic Area Name","Estimate!!Gini Index","Margin of Error!!Gini Index"
"0600000US0901180280","Waterford town, New London County, Connecticut","0.4137","0.0195"
"0600000US0901155500","North Stonington town, New London County, Connecticut","0.4010","0.0355"
"0600000US0901173770","Stonington town, New London County, Connecticut","0.4838","0.0230"
"0600000US0901156270","Norwich town, New London County, Connecticut","0.4446","0.0235"
"0600000US0901123400","East Lyme town, New London County, Connecticut","0.4138","0.0192"
"0600000US0901178600","Voluntown town, New London County, Connecticut","0.3725","0.0300"
"0600000US0901143230","Lisbon town, New London County, Connecticut","0.3526","0.0340"
"0600000US0901148900","Montville town, New London County, Connecticut","0.3877","0.0244"
"0600000US0901144210","Lyme town, New London County, Connecticut","0.5213","0.0371"
"0600000US0901157040","Old Lyme town, New London County, Connecticut","0.4603","0.0314"
"0600000US0900700000","County subdivisions not defined, Middlesex County, Connecticut","-","**"
"0600000US0900722280","East Haddam town, Middlesex County, Connecticut","0.4036","0.0376"
"0600000US0900757320","Old Saybrook town, Middlesex County, Connecticut","0.4411","0.0396"
"0600000US0900719130","Deep River town, Middlesex County, Connecticut","0.4694","0.0756"
"0600000US0900715350","Clinton town, Middlesex County, Connecticut","0.4432","0.0227"
"0600000US0900735230","Haddam town, Middlesex County, Connecticut","0.3896","0.0397"
"0600000US0900740710","Killingworth town, Middlesex County, Connecticut","0.4111","0.0443"
"0600000US0900747360","Middletown town, Middlesex County, Connecticut","0.4529","0.0194"
"0600000US0900714300","Chester town, Middlesex County, Connecticut","0.3825","0.0362"
"0600000US0900726270","Essex town, Middlesex County, Connecticut","0.4629","0.0331"
"0600000US0900718080","Cromwell town, Middlesex County, Connecticut","0.4082","0.0284"
"0600000US0901301080","Andover town, Tolland County, Connecticut","0.2971","0.0299"
"0600000US0901317800","Coventry town, Tolland County, Connecticut","0.3513","0.0280"
"0600000US0901376290","Tolland town, Tolland County, Connecticut","0.4009","0.0371"
"0600000US0901369220","Somers town, Tolland County, Connecticut","0.4141","0.0383"
"0600000US0901378250","Vernon town, Tolland County, Connecticut","0.4223","0.0185"
"0600000US0901377830","Union town, Tolland County, Connecticut","0.3688","0.0502"
"0600000US0901316400","Columbia town, Tolland County, Connecticut","0.3585","0.0400"
"0600000US0901325360","Ellington town, Tolland County, Connecticut","0.4467","0.0409"
"0600000US0901385950","Willington town, Tolland County, Connecticut","0.4375","0.0435"
"0600000US0901344910","Mansfield town, Tolland County, Connecticut","0.5467","0.0448"
"0600000US0901337910","Hebron town, Tolland County, Connecticut","0.3552","0.0270"
"0600000US0901372090","Stafford town, Tolland County, Connecticut","0.4157","0.0249"
"0600000US0900133620","Greenwich town, Fairfield County, Connecticut","0.5845","0.0103"
"0600000US0900148620","Monroe town, Fairfield County, Connecticut","0.4133","0.0247"
"0600000US0900163480","Redding town, Fairfield County, Connecticut","0.4823","0.0377"
"0600000US0900174190","Stratford town, Fairfield County, Connecticut","0.4203","0.0171"
"0600000US0900150580","New Canaan town, Fairfield County, Connecticut","0.5432","0.0188"
"0600000US0900150860","New Fairfield town, Fairfield County, Connecticut","0.4137","0.0359"
"0600000US0900152980","Newtown town, Fairfield County, Connecticut","0.4272","0.0197"
"0600000US0900173070","Stamford town, Fairfield County, Connecticut","0.5200","0.0105"
"0600000US0900183430","Weston town, Fairfield County, Connecticut","0.4579","0.0302"
"0600000US0900100000","County subdivisions not defined, Fairfield County, Connecticut","-","**"
"0600000US0900123890","Easton town, Fairfield County, Connecticut","0.4298","0.0343"
"0600000US0900186370","Wilton town, Fairfield County, Connecticut","0.4707","0.0205"
"0600000US0900108070","Bridgeport town, Fairfield County, Connecticut","0.4783","0.0131"
"0600000US0900118850","Darien town, Fairfield County, Connecticut","0.5257","0.0163"
"0600000US0900126620","Fairfield town, Fairfield County, Connecticut","0.4942","0.0141"
"0600000US0900163970","Ridgefield town, Fairfield County, Connecticut","0.4764","0.0198"
"0600000US0900183500","Westport town, Fairfield County, Connecticut","0.5263","0.0152"
"0600000US0900104720","Bethel town, Fairfield County, Connecticut","0.4160","0.0310"
"0600000US0900168310","Sherman town, Fairfield County, Connecticut","0.5292","0.0567"
"0600000US0900156060","Norwalk town, Fairfield County, Connecticut","0.4922","0.0135"
"0600000US0900108980","Brookfield town, Fairfield County, Connecticut","0.4355","0.0323"
"0600000US0900903250","Beacon Falls town, New Haven County, Connecticut","0.3651","0.0321"
"0600000US0900982870","West Haven town, New Haven County, Connecticut","0.4312","0.0164"
"0600000US0900904580","Bethany town, New Haven County, Connecticut","0.4211","0.0441"
"0600000US0900934950","Guilford town, New Haven County, Connecticut","0.4799","0.0250"
"0600000US0900944560","Madison town, New Haven County, Connecticut","0.4506","0.0271"
"0600000US0900987560","Wolcott town, New Haven County, Connecticut","0.3760","0.0207"
"0600000US0900978740","Wallingford town, New Haven County, Connecticut","0.3880","0.0121"
"0600000US0900987700","Woodbridge town, New Haven County, Connecticut","0.4081","0.0327"
"0600000US0900949950","Naugatuck town, New Haven County, Connecticut","0.4509","0.0482"
"0600000US0900957600","Orange town, New Haven County, Connecticut","0.4370","0.0288"
"0600000US0900962290","Prospect town, New Haven County, Connecticut","0.3496","0.0286"
"0600000US0900900000","County subdivisions not defined, New Haven County, Connecticut","-","**"
"0600000US0900907310","Branford town, New Haven County, Connecticut","0.4567","0.0212"
"0600000US0900946520","Meriden town, New Haven County, Connecticut","0.4001","0.0123"
"0600000US0900952070","New Haven town, New Haven County, Connecticut","0.5236","0.0110"
"0600000US0900914160","Cheshire town, New Haven County, Connecticut","0.3851","0.0142"
"0600000US0900935650","Hamden town, New Haven County, Connecticut","0.4370","0.0150"
"0600000US0900953890","North Branford town, New Haven County, Connecticut","0.4421","0.0601"
"0600000US0900980070","Waterbury town, New Haven County, Connecticut","0.4779","0.0127"
"0600000US0900954870","North Haven town, New Haven County, Connecticut","0.4477","0.0259"
"0600000US0900947535","Milford town, New Haven County, Connecticut","0.4279","0.0168"
"0600000US0900549460","Morris town, Litchfield County, Connecticut","0.4873","0.0641"
"0600000US0900566420","Salisbury town, Litchfield County, Connecticut","0.4915","0.0590"
"0600000US0900560750","Plymouth town, Litchfield County, Connecticut","0.3855","0.0289"
"0600000US0900567960","Sharon town, Litchfield County, Connecticut","0.5871","0.0831"
"0600000US0900575730","Thomaston town, Litchfield County, Connecticut","0.3652","0.0297"
"0600000US0900576570","Torrington town, Litchfield County, Connecticut","0.4000","0.0131"
"0600000US0900517240","Cornwall town, Litchfield County, Connecticut","0.5159","0.0506"
"0600000US0900552630","New Milford town, Litchfield County, Connecticut","0.4253","0.0253"
