"GEO_ID","NAME","B19083_001E","B19083_001M"
"id","Geographic Area Name","Estimate!!Gini Index","Margin of Error!!Gini Index"
"0600000US0900100000","County subdivisions not defined, Fairfield County, Connecticut","-","**"
"0600000US0900700000","County subdivisions not defined, Middlesex County, Connecticut","-","**"
"0600000US0900900000","County subdivisions not defined, New Haven County, Connecticut","-","**"
"0600000US0901100000","County subdivisions not defined, New London County, Connecticut","-","**"
"0600000US0900722280","East Haddam town, Middlesex County, Connecticut","0.4140","0.0543"
"0600000US0900987700","Woodbridge town, New Haven County, Connecticut","0.4610","0.0342"
"0600000US0901156270","Norwich town, New London County, Connecticut","0.4361","0.0209"
"0600000US0901171670","Sprague town, New London County, Connecticut","0.3498","0.0338"
"0600000US0900177200","Trumbull town, Fairfield County, Connecticut","0.4152","0.0224"
"0600000US0900183500","Westport town, Fairfield County, Connecticut","0.5419","0.0163"
"0600000US0900304300","Berlin town, Hartford County, Connecticut","0.3964","0.0216"
"0600000US0900715350","Clinton town, Middlesex County, Connecticut","0.4282","0.0300"
"0600000US0901106820","Bozrah town, New London County, Connecticut","0.3388","0.0280"
"0600000US0901173770","Stonington town, New London County, Connecticut","0.4570","0.0234"
"0600000US0901180280","Waterford town, New London County, Connecticut","0.4338","0.0287"
"0600000US0900331240","Glastonbury town, Hartford County, Connecticut","0.4609","0.0256"
"0600000US0900516050","Colebrook town, Litchfield County, Connecticut","0.3670","0.0332"
"0600000US0900540290","Kent town, Litchfield County, Connecticut","0.4348","0.0382"
"0600000US0901134250","Groton town, New London County, Connecticut","0.4453","0.0173"
"0600000US0901559980","Plainfield town, Windham County, Connecticut","0.3778","0.0267"
"0600000US0900368940","Simsbury town, Hartford County, Connecticut","0.4294","0.0170"
"0600000US0900553470","Norfolk town, Litchfield County, Connecticut","0.4922","0.0537"
"0600000US0901385950","Willington town, Tolland County, Connecticut","0.4371","0.0698"
"0600000US0900308490","Bristol town, Hartford County, Connecticut","0.4235","0.0195"
"0600000US0900537280","Harwinton town, Litchfield County, Connecticut","0.4256","0.0390"
"0600000US0900934950","Guilford town, New Haven County, Connecticut","0.4494","0.0227"
"0600000US0901337910","Hebron town, Tolland County, Connecticut","0.3436","0.0233"
"0600000US0900305910","Bloomfield town, Hartford County, Connecticut","0.4378","0.0294"
"0600000US0900325990","Enfield town, Hartford County, Connecticut","0.3727","0.0131"
"0600000US0900980070","Waterbury town, New Haven County, Connecticut","0.4629","0.0114"
"0600000US0900302060","Avon town, Hartford County, Connecticut","0.4682","0.0260"
"0600000US0901142390","Lebanon town, New London County, Connecticut","0.3491","0.0369"
"0600000US0901306260","Bolton town, Tolland County, Connecticut","0.3935","0.0393"
"0600000US0900337140","Hartland town, Hartford County, Connecticut","0.3754","0.0341"
"0600000US0900575730","Thomaston town, Litchfield County, Connecticut","0.3625","0.0231"
"0600000US0900949950","Naugatuck town, New Haven County, Connecticut","0.4592","0.0399"
"0600000US0901155500","North Stonington town, New London County, Connecticut","0.4064","0.0412"
"0600000US0900163970","Ridgefield town, Fairfield County, Connecticut","0.5030","0.0215"
"0600000US0900173070","Stamford town, Fairfield County, Connecticut","0.5176","0.0109"
"0600000US0900384900","Wethersfield town, Hartford County, Connecticut","0.4137","0.0170"
"0600000US0900962290","Prospect town, New Haven County, Connecticut","0.3386","0.0218"
"0600000US0900978740","Wallingford town, New Haven County, Connecticut","0.4082","0.0195"
"0600000US0901325360","Ellington town, Tolland County, Connecticut","0.4129","0.0491"
"0600000US0900322070","East Granby town, Hartford County, Connecticut","0.3909","0.0324"
"0600000US0900720810","Durham town, Middlesex County, Connecticut","0.3821","0.0390"
"0600000US0900935650","Hamden town, New Haven County, Connecticut","0.4315","0.0135"
"0600000US0900365370","Rocky Hill town, Hartford County, Connecticut","0.4217","0.0294"
"0600000US0901166210","Salem town, New London County, Connecticut","0.3872","0.0416"
"0600000US0900532290","Goshen town, Litchfield County, Connecticut","0.4210","0.0597"
"0600000US0900901220","Ansonia town, New Haven County, Connecticut","0.4620","0.0212"
"0600000US0900322630","East Hartford town, Hartford County, Connecticut","0.4252","0.0133"
"0600000US0900337070","Hartford town, Hartford County, Connecticut","0.5033","0.0130"
"0600000US0900387000","Windsor town, Hartford County, Connecticut","0.3741","0.0183"
"0600000US0901521860","Eastford town, Windham County, Connecticut","0.3703","0.0480"
"0600000US0900150860","New Fairfield town, Fairfield County, Connecticut","0.3848","0.0244"
"0600000US0901369220","Somers town, Tolland County, Connecticut","0.3800","0.0280"
"0600000US0900387070","Windsor Locks town, Hartford County, Connecticut","0.3992","0.0308"
"0600000US0900967610","Seymour town, New Haven County, Connecticut","0.3839","0.0253"
"0600000US0901178600","Voluntown town, New London County, Connecticut","0.3514","0.0294"
"0600000US0900152980","Newtown town, Fairfield County, Connecticut","0.4154","0.0141"
"0600000US0900174190","Stratford town, Fairfield County, Connecticut","0.4360","0.0147"
"0600000US0900919550","Derby town, New Haven County, Connecticut","0.4016","0.0255"
"0600000US0901376290","Tolland town, Tolland County, Connecticut","0.3849","0.0363"
"0600000US0900123890","Easton town, Fairfield County, Connecticut","0.4167","0.0276"
"0600000US0900133620","Greenwich town, Fairfield County, Connecticut","0.5869","0.0104"
"0600000US0900370550","Southington town, Hartford County, Connecticut","0.3941","0.0139"
"0600000US0901573420","Sterling town, Windham County, Connecticut","0.3359","0.0403"
"0600000US0900163480","Redding town, Fairfield County, Connecticut","0.4468","0.0248"
"0600000US0900327600","Farmington town, Hartford County, Connecticut","0.4743","0.0214"
"0600000US0900382590","West Hartford town, Hartford County, Connecticut","0.4923","0.0124"
"0600000US0900549460","Morris town, Litchfield County, Connecticut","0.4912","0.0627"
"0600000US0901372090","Stafford town, Tolland County, Connecticut","0.4071","0.0262"
"0600000US0901509190","Brooklyn town, Windham County, Connecticut","0.3900","0.0304"
"0600000US0900104720","Bethel town, Fairfield County, Connecticut","0.4196","0.0337"
"0600000US0900360120","Plainville town, Hartford County, Connecticut","0.4079","0.0230"
"0600000US0900156060","Norwalk town, Fairfield County, Connecticut","0.4823","0.0137"
"0600000US0901301080","Andover town, Tolland County, Connecticut","0.3547","0.0442"
"0600000US0901377830","Union town, Tolland County, Connecticut","0.3486","0.0645"
"0600000US0901162150","Preston town, New London County, Connecticut","0.3816","0.0263"
"0600000US0900108070","Bridgeport town, Fairfield County, Connecticut","0.4753","0.0103"
"0600000US0900566420","Salisbury town, Litchfield County, Connecticut","0.4795","0.0494"
"0600000US0900567960","Sharon town, Litchfield County, Connecticut","0.5191","0.0582"
"0600000US0901586790","Windham town, Windham County, Connecticut","0.4318","0.0182"
"0600000US0900543370","Litchfield town, Litchfield County, Connecticut","0.4582","0.0363"
"0600000US0900586440","Winchester town, Litchfield County, Connecticut","0.4379","0.0397"
"0600000US0901129910","Franklin town, New London County, Connecticut","0.3902","0.0437"
"0600000US0900969640","Southbury town, New Haven County, Connecticut","0.4325","0.0173"
"0600000US0901536000","Hampton town, Windham County, Connecticut","0.3754","0.0462"
"0600000US0900126620","Fairfield town, Fairfield County, Connecticut","0.4959","0.0129"
"0600000US0900747360","Middletown town, Middlesex County, Connecticut","0.4374","0.0155"
"0600000US0901567400","Scotland town, Windham County, Connecticut","0.3191","0.0435"
"0600000US0900714300","Chester town, Middlesex County, Connecticut","0.4164","0.0395"
"0600000US0901142600","Ledyard town, New London County, Connecticut","0.3535","0.0239"
"0600000US0901152350","New London town, New London County, Connecticut","0.4927","0.0272"
"0600000US0901157040","Old Lyme town, New London County, Connecticut","0.3921","0.0231"
"0600000US0900374540","Suffield town, Hartford County, Connecticut","0.4423","0.0328"
"0600000US0900560750","Plymouth town, Litchfield County, Connecticut","0.3566","0.0218"
"0600000US0900922910","East Haven town, New Haven County, Connecticut","0.4142","0.0231"
"0600000US0900958300","Oxford town, New Haven County, Connecticut","0.3595","0.0356"
"0600000US0901123400","East Lyme town, New London County, Connecticut","0.3979","0.0177"
"0600000US0900587910","Woodbury town, Litchfield County, Connecticut","0.4556","0.0289"
"0600000US0900719130","Deep River town, Middlesex County, Connecticut","0.4910","0.0659"
"0600000US0900726270","Essex town, Middlesex County, Connecticut","0.4663","0.0451"
"0600000US0900907310","Branford town, New Haven County, Connecticut","0.4646","0.0236"
"0600000US0900952070","New Haven town, New Haven County, Connecticut","0.5175","0.0097"
"0600000US0900502760","Barkhamsted town, Litchfield County, Connecticut","0.3488","0.0296"
"0600000US0900552630","New Milford town, Litchfield County, Connecticut","0.4382","0.0666"
"0600000US0900554030","North Canaan town, Litchfield County, Connecticut","0.3439","0.0459"
"0600000US0900576570","Torrington town, Litchfield County, Connecticut","0.4190","0.0176"
"0600000US0900310100","Burlington town, Hartford County, Connecticut","0.3824","0.0321"
"0600000US0900352140","Newington town, Hartford County, Connecticut","0.3749","0.0157"
"0600000US0900565930","Roxbury town, Litchfield County, Connecticut","0.5476","0.0511"
"0600000US0901316400","Columbia town, Tolland County, Connecticut","0.3750","0.0413"
"0600000US0900118850","Darien town, Fairfield County, Connecticut","0.5071","0.0152"
"0600000US0900344700","Manchester town, Hartford County, Connecticut","0.4191","0.0129"
"0600000US0900953890","North Branford town, New Haven County, Connecticut","0.4007","0.0389"
"0600000US0900504930","Bethlehem town, Litchfield County, Connecticut","0.4819","0.0659"
"0600000US0901317800","Coventry town, Tolland County, Connecticut","0.3490","0.0253"
"0600000US0901540500","Killingly town, Windham County, Connecticut","0.3898","0.0209"
"0600000US0900148620","Monroe town, Fairfield County, Connecticut","0.4317","0.0268"
"0600000US0900345820","Marlborough town, Hartford County, Connecticut","0.3702","0.0770"
"0600000US0900350440","New Britain town, Hartford County, Connecticut","0.4611","0.0124"
"0600000US0900747080","Middlefield town, Middlesex County, Connecticut","0.3966","0.0522"
"0600000US0901144210","Lyme town, New London County, Connecticut","0.4611","0.0382"
"0600000US0901501430","Ashford town, Windham County, Connecticut","0.4184","0.0379"
"0600000US0900722490","East Hampton town, Middlesex County, Connecticut","0.3801","0.0290"
"0600000US0901148900","Montville town, New London County, Connecticut","0.3673","0.0216"
"0600000US0901588190","Woodstock town, Windham County, Connecticut","0.3965","0.0414"
"0600000US0900761800","Portland town, Middlesex County, Connecticut","0.4060","0.0443"
"0600000US0900118500","Danbury town, Fairfield County, Connecticut","0.4420","0.0143"
"0600000US0900510940","Canaan town, Litchfield County, Connecticut","0.4449","0.0721"
"0600000US0900740710","Killingworth town, Middlesex County, Connecticut","0.3928","0.0345"
"0600000US0901115910","Colchester town, New London County, Connecticut","0.3566","0.0163"
"0600000US0900168170","Shelton town, Fairfield County, Connecticut","0.4296","0.0222"
"0600000US0901561030","Pomfret town, Windham County, Connecticut","0.3935","0.0320"
"0600000US0900757320","Old Saybrook town, Middlesex County, Connecticut","0.4824","0.0437"
"0600000US0900580490","Watertown town, Litchfield County, Connecticut","0.4068","0.0223"
"0600000US0900312270","Canton town, Hartford County, Connecticut","0.4483","0.0377"
"0600000US0900579510","Warren town, Litchfield County, Connecticut","0.4796","0.0466"
"0600000US0900183430","Weston town, Fairfield County, Connecticut","0.4705","0.0333"
"0600000US0900904580","Bethany town, New Haven County, Connecticut","0.3711","0.0307"
"0600000US0900508210","Bridgewater town, Litchfield County, Connecticut","0.4913","0.0754"
